,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065362,0.0065433,0.9897,49.050000000000004,10.0,0.012703006117534806,0.019239206117534807,1.5145567073536093,46.60174484164951,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094028,0.009425,0.9901,58.86,10.0,0.012954690835154188,0.02235749083515419,1.7600356011113027,54.15494157265547,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127834,0.0128364,0.9904,68.67,10.0,0.013063630364600868,0.02584703036460087,2.0347405690612086,62.607402124960245,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166735,0.0167807,0.9907,78.48,10.0,0.013759312325011415,0.030432812325011417,2.3957443851319167,73.71521185021281,168
4,9.0,10.0,88.29,1.121535760179736,0.0210673,0.0212622,0.9908,88.29,10.0,0.01626099118793401,0.037328291187934015,2.9385731119750718,90.41763421461758,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259576,0.0262856,0.991,98.10000000000001,10.0,0.0222776882773285,0.0482352882773285,3.797198228724192,116.83686857612896,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0313361,0.0318564,0.9911,107.91000000000001,10.0,0.03400819176956632,0.06534429176956633,5.144060247718217,158.2787768528682,168
7,12.0,10.0,117.72,1.4953810135729813,0.0371927,0.0379808,0.9912,117.72,10.0,0.05414105669343057,0.09133375669343058,7.190013608813224,221.23118796348382,168
8,13.0,10.0,127.53,1.6199960980373964,0.0435157,0.0446657,0.9913,127.53,10.0,0.08585460493011601,0.129370304930116,10.184342423864798,313.36438227276295,168
9,14.0,10.0,137.34,1.7446111825018116,0.0502916,0.0519191,0.9913,137.34,10.0,0.13281692521322896,0.18310852521322896,14.414744732245664,443.5306071460204,168
10,15.0,10.0,147.15,1.8692262669662265,0.0575049,0.0597495,0.9914,147.15,10.0,0.19918587312878747,0.25669077312878746,20.207316756363316,621.7635925034866,168
11,16.0,10.0,156.96,1.9938413514306417,0.0651374,0.0681667,0.9915,156.96,10.0,0.28960907111522116,0.3547464711152212,27.926497795971734,859.2768552606686,168
12,17.0,10.0,166.77,2.118456435895057,0.0731686,0.0771811,0.9915,166.77,10.0,0.40922390846337126,0.48239250846337123,37.97510171713611,1168.4646682195726,168
13,18.0,10.0,176.58,2.243071520359472,0.0815746,0.0868044,0.9915,176.58,10.0,0.5636575413164907,0.6452321413164908,50.79423035757988,1562.8993956178422,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0903283,0.0970494,0.9916,186.39000000000001,10.0,0.759026892670244,0.8493551926702441,66.86328927116699,2057.331977574369,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0993984,0.1079303,0.9916,196.20000000000002,10.0,1.0019386523727076,1.1013370523727075,86.69990900549017,2667.6895078612356,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044679,0.0044696,0.9891,49.050000000000004,11.0,0.011528785484956306,0.015996685484956308,1.5237501719079793,51.57308274150083,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064288,0.0064356,0.9897,58.86,11.0,0.012008018706009142,0.01843681870600914,1.7561829104621174,59.440036969487046,168
18,7.0,11.0,68.67,0.720913711777608,0.0087433,0.0087613,0.99,68.67,11.0,0.012236686271829856,0.020979986271829856,1.998430094683774,67.6391724354508,168
19,8.0,11.0,78.48,0.8239013848886949,0.0114095,0.0114482,0.9903,78.48,11.0,0.012312116925390953,0.023721616925390952,2.2595817053471574,76.47815002713455,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144249,0.0144982,0.9905,88.29,11.0,0.012554614267236308,0.026979514267236306,2.569909844220919,86.98156395824648,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0177868,0.0179135,0.9907,98.10000000000001,11.0,0.013507456755481161,0.031294256755481156,2.98090683571548,100.89223136267776,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0214914,0.0216964,0.9909,107.91000000000001,11.0,0.015936897705812123,0.03742829770581212,3.565199498176545,120.66829070751382,168
23,12.0,11.0,117.72,1.2358520773330424,0.0255348,0.0258498,0.991,117.72,11.0,0.02083216529148714,0.046366965291487136,4.416644398003416,149.48642577857714,168
24,13.0,11.0,127.53,1.3388397504441292,0.0299121,0.0303767,0.9911,127.53,11.0,0.02940546254333558,0.05931756254333558,5.650242120942517,191.23896409343902,168
25,14.0,11.0,137.34,1.441827423555216,0.0346179,0.0352805,0.9912,137.34,11.0,0.04309196734975812,0.07770986734975813,7.4021848991465395,250.53548889419056,168
26,15.0,11.0,147.15,1.544815096666303,0.0396459,0.0405652,0.9912,147.15,11.0,0.06354983245672682,0.10319573245672682,9.82981850952712,332.7015495532256,168
27,16.0,11.0,156.96,1.6478027697773898,0.0449889,0.0462347,0.9913,156.96,11.0,0.09266018546778515,0.13764908546778515,13.111642273754851,443.778661573241,168
28,17.0,11.0,166.77,1.7507904428884766,0.0506392,0.0522937,0.9913,166.77,11.0,0.13252712884404783,0.18316632884404782,17.447347159906585,590.5255961814535,168
29,18.0,11.0,176.58,1.8537781159995637,0.0565875,0.0587472,0.9914,176.58,11.0,0.1854777399042011,0.2420652399042011,23.057711002935314,780.4148339455028,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.0628239,0.0656005,0.9914,186.39000000000001,11.0,0.2540620708245024,0.31688597082450237,30.18469375878845,1021.6357887589936,168
