,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0442542,0.0454517,0.9913,49.050000000000004,10.0,0.16258959063943695,0.20684379063943695,6.209156583625112,191.05097180384956,168
1,6.0,10.0,58.86,1.9607857126916248,0.0630731,0.0658762,0.9914,58.86,10.0,0.4958718357550625,0.5589449357550625,16.778732477288877,516.2686916088885,168
2,7.0,10.0,68.67,2.2875833314735625,0.084663,0.0903918,0.9916,68.67,10.0,1.187846528321905,1.272509528321905,38.198927272991064,1175.351608399725,168
3,8.0,10.0,78.48,2.6143809502554998,0.1085558,0.119221,0.9917,78.48,10.0,2.4287593783610553,2.5373151783610552,76.16659507036076,2343.587540626485,168
4,9.0,10.0,88.29,2.9411785690374375,0.134074,0.1526477,0.9917,88.29,10.0,4.448855797365536,4.582929797365536,137.5730382605861,4233.016561864188,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1602186,0.1910338,0.9918,98.10000000000001,10.0,7.5183808983003,7.678599498300301,230.50064244375508,7092.327459807849,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1854666,0.2348443,0.9918,107.91000000000001,10.0,11.947579495602238,12.133046095602237,364.21679766669286,11206.670697436703,168
7,12.0,10.0,117.72,3.9215714253832497,0.207371,0.2846861,0.9919,117.72,10.0,18.08669610518015,18.294067105180147,549.1618909915279,16897.288953585474,168
8,13.0,10.0,127.53,4.248369044165187,0.2216532,0.3413743,0.9919,127.53,10.0,26.32597494441481,26.54762814441481,796.9220616337725,24520.678819500692,168
9,14.0,10.0,137.34,4.575166662947125,0.219607,0.4060628,0.992,137.34,10.0,37.09565993215889,37.31526693215889,1120.1512727323197,34466.1930071483,168
10,15.0,10.0,147.15,4.901964281729062,0.219607,0.4060628,0.992,147.15,10.0,50.865994688737004,51.08560168873701,1533.5171487308562,47185.1430378725,168
11,16.0,10.0,156.96,5.2287619005109995,0.219607,0.4060628,0.992,156.96,10.0,68.14722253594569,68.36682953594568,2052.275044865463,63146.92445739884,168
12,17.0,10.0,166.77,5.555559519292937,0.219607,0.4060628,0.992,166.77,10.0,89.48958649705342,89.70919349705342,2692.9424745696324,82859.76844829637,168
13,18.0,10.0,176.58,5.882357138074875,0.219607,0.4060628,0.992,176.58,10.0,115.48332929680062,115.70293629680062,3473.23768545877,106868.85186026983,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.219607,0.4060628,0.992,186.39000000000001,10.0,146.75869336139965,146.97830036139965,4412.0796593301975,135756.29721015992,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.219607,0.4060628,0.992,196.20000000000002,10.0,183.98592081853474,184.20552781853473,5529.588112163148,170141.17268194302,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0304242,0.0309084,0.9911,49.050000000000004,11.0,0.046644191004056125,0.07706839100405613,2.799315097420194,94.74604945114503,168
17,6.0,11.0,58.86,1.6204840600757229,0.0435413,0.044693,0.9913,58.86,11.0,0.15419494571721218,0.19773624571721218,7.182270847126535,243.09224405659043,168
18,7.0,11.0,68.67,1.89056473675501,0.0587826,0.0611489,0.9914,68.67,11.0,0.39974303855848503,0.45852563855848505,16.654788374957096,563.7005296139324,168
19,8.0,11.0,78.48,2.160645413434297,0.0759738,0.0803703,0.9915,78.48,11.0,0.8652061002773714,0.9411799002773714,34.185988184133954,1157.0642154629952,168
20,9.0,11.0,88.29,2.4307260901135845,0.0948792,0.1024734,0.9916,88.29,11.0,1.6511619175662102,1.7460411175662103,63.420543720217,2146.5414797611907,168
