,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0442542,0.0454517,0.9913,49.050000000000004,10.0,0.15060337009992397,0.19485757009992397,5.849347280451813,179.9799163215942,168
1,6.0,10.0,58.86,1.9607857126916248,0.0630731,0.0658762,0.9914,58.86,10.0,0.3585002913581382,0.4215733913581382,12.655033976801784,389.38566082467025,168
2,7.0,10.0,68.67,2.2875833314735625,0.084663,0.0903918,0.9916,68.67,10.0,0.7529568239023152,0.8376198239023153,25.144156506124087,773.6663540345872,168
3,8.0,10.0,78.48,2.6143809502554998,0.1085558,0.119221,0.9917,78.48,10.0,1.4239053045597092,1.5324611045597092,46.00230409194666,1415.4555105214358,168
4,9.0,10.0,88.29,2.9411785690374375,0.134074,0.1526477,0.9917,88.29,10.0,2.479288047546247,2.613362047546247,78.4494139889543,2413.8281227370553,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1602186,0.1910338,0.9918,98.10000000000001,10.0,4.045057344466527,4.2052759444665275,126.23640640032957,3884.19712001014,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1854666,0.2348443,0.9918,107.91000000000001,10.0,6.265175464313824,6.450642064313824,193.6391057155898,5958.126329710455,168
7,12.0,10.0,117.72,3.9215714253832497,0.207371,0.2846861,0.9919,117.72,10.0,9.30161465347007,9.50898565347007,285.44623307915384,8782.961017820118,168
8,13.0,10.0,127.53,4.248369044165187,0.2216532,0.3413743,0.9919,127.53,10.0,13.334357135705897,13.556010335705897,406.9321615284214,12520.989585489886,168
9,14.0,10.0,137.34,4.575166662947125,0.219607,0.4060628,0.992,137.34,10.0,18.561395112180588,18.781002112180587,563.7789877637714,17347.04577734681,168
10,15.0,10.0,147.15,4.901964281729062,0.219607,0.4060628,0.992,147.15,10.0,25.198730761442107,25.418337761442107,763.022369529974,23477.61137015304,168
11,16.0,10.0,156.96,5.2287619005109995,0.219607,0.4060628,0.992,156.96,10.0,33.48037623942707,33.69998323942708,1011.625595103792,31126.941387808984,168
12,17.0,10.0,166.77,5.555559519292937,0.219607,0.4060628,0.992,166.77,10.0,43.65835367946082,43.87796067946082,1317.1540106989964,40527.815713815275,168
13,18.0,10.0,176.58,5.882357138074875,0.219607,0.4060628,0.992,176.58,10.0,56.002695192257285,56.22230219225729,1687.7135964508698,51929.64912156523,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.219607,0.4060628,0.992,186.39000000000001,10.0,70.80144286591916,71.02104986591915,2131.9509664162074,65598.49127434484,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.219607,0.4060628,0.992,196.20000000000002,10.0,88.36064876593775,88.58025576593775,2659.053368573316,81817.0267253328,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.0304242,0.0309084,0.9911,49.050000000000004,11.0,0.06520630056836452,0.09563050056836452,3.473536952403536,117.56586608135045,168
17,6.0,11.0,58.86,1.6204840600757229,0.0435413,0.044693,0.9913,58.86,11.0,0.14491029612599232,0.18845159612599233,6.845029347254167,231.67791636860258,168
18,7.0,11.0,68.67,1.89056473675501,0.0587826,0.0611489,0.9914,68.67,11.0,0.3008228795125294,0.3596054795125294,13.061762868015133,442.0904355328199,168
19,8.0,11.0,78.48,2.160645413434297,0.0759738,0.0803703,0.9915,78.48,11.0,0.5722400705767824,0.6482138705767824,23.544735404781786,796.8987367772297,168
20,9.0,11.0,88.29,2.4307260901135845,0.0948792,0.1024734,0.9916,88.29,11.0,1.006859676536784,1.1017388765367842,40.01788840176857,1354.4516074444748,168
21,10.0,11.0,98.10000000000001,2.700806766792872,0.1151804,0.1276007,0.9917,98.10000000000001,11.0,1.6607812919797937,1.7759616919797938,64.50733318848319,2183.3251233025076,168
22,11.0,11.0,107.91000000000001,2.970887443472159,0.1364432,0.1559263,0.9917,107.91000000000001,11.0,2.5985062988622962,2.734949498862296,99.34014870563578,3362.2819561907495,168
23,12.0,11.0,117.72,3.2409681201514458,0.1580664,0.1876629,0.9918,117.72,11.0,3.8929378665099996,4.05100426651,147.14252179415854,4980.208429956135,168
24,13.0,11.0,127.53,3.511048796830733,0.1791972,0.2230726,0.9918,127.53,11.0,5.625380951617847,5.8045781516178465,210.83667431339083,7136.010515222459,168
25,14.0,11.0,137.34,3.78112947351002,0.1985826,0.262481,0.9919,137.34,11.0,7.885542298249996,8.084124898249996,293.635465620538,9938.431144079746,168
26,15.0,11.0,147.15,4.051210150189307,0.2142868,0.3063001,0.9919,147.15,11.0,10.77153043783984,10.98581723783984,399.0321278377999,13505.7027883563,168
27,16.0,11.0,156.96,4.321290826868594,0.2230766,0.3550653,0.9919,156.96,11.0,14.389855689189993,14.612932289189994,530.7779420561106,17964.79188497605,168
28,17.0,11.0,166.77,4.591371503547882,0.2200172,0.4041947,0.992,166.77,11.0,18.855430158472295,19.075447358472296,692.8675567886878,23450.90192207866,168
29,18.0,11.0,176.58,4.861452180227169,0.2200172,0.4041947,0.992,176.58,11.0,24.291567739227823,24.511584939227824,890.3215558044625,30133.960350304886,168
30,19.0,11.0,186.39000000000001,5.131532856906456,0.2200172,0.4041947,0.992,186.39000000000001,11.0,30.829984112366855,31.050001312366856,1127.8130543045959,38172.13414569401,168
31,20.0,11.0,196.20000000000002,5.401613533585744,0.2200172,0.4041947,0.992,196.20000000000002,11.0,38.610796746168916,38.83081394616892,1410.4314662402173,47737.68039582274,168
32,5.0,12.0,49.050000000000004,1.1347139541039497,0.0215611,0.0217677,0.9909,49.050000000000004,12.0,0.03530443738940854,0.05686553738940854,2.4581125479796198,90.7610786946321,168
33,6.0,12.0,58.86,1.3616567449247396,0.0309266,0.0314305,0.9911,58.86,12.0,0.06743693139369211,0.09836353139369211,4.251936091391902,156.99456337447023,168
34,7.0,12.0,68.67,1.5885995357455296,0.0418794,0.0429282,0.9913,68.67,12.0,0.13220953105047523,0.17408893105047524,7.525299250213995,277.85720308482445,168
35,8.0,12.0,78.48,1.8155423265663195,0.0543449,0.0563049,0.9914,78.48,12.0,0.24776115492889697,0.30210605492889697,13.059063864217634,482.1808196018818,168
36,9.0,12.0,88.29,2.0424851173871095,0.0682262,0.0716138,0.9915,88.29,12.0,0.43641926672832276,0.5046454667283228,21.814185023018283,805.4468316191366,168
