,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.00653,0.0065419,0.9902,49.050000000000004,10.0,0.010542156315091056,0.017072156315091055,1.3439613203397376,41.35265601045346,168
1,6.0,10.0,58.86,0.7476905067864906,0.0093925,0.0094244,0.9905,58.86,10.0,0.011333100130341466,0.020725600130341464,1.6315692289781256,50.202130122403865,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127673,0.012837,0.9908,68.67,10.0,0.013681213082373989,0.02644851308237399,2.0820907392810843,64.06433043941797,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166493,0.0167832,0.9909,78.48,10.0,0.01899057978556073,0.03563987978556073,2.805657294211358,86.32791674496485,168
4,9.0,10.0,88.29,1.121535760179736,0.0210323,0.0212673,0.9911,88.29,10.0,0.029136876514402794,0.050169176514402794,3.94943857496507,121.52118692200216,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259088,0.0262941,0.9912,98.10000000000001,10.0,0.046467371203530256,0.07237617120353025,5.69762675648935,175.31159250736457,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312697,0.0318692,0.9913,107.91000000000001,10.0,0.07380092344770219,0.10507062344770218,8.27141289075879,254.50501202334732,168
7,12.0,10.0,117.72,1.4953810135729813,0.0371047,0.0379988,0.9914,117.72,10.0,0.11442798450180662,0.15153268450180662,11.92901839574017,367.0467198689283,168
8,13.0,10.0,127.53,1.6199960980373964,0.0434015,0.0446901,0.9914,127.53,10.0,0.1721105972808607,0.2155120972808607,16.965632077463013,522.0194485373235,168
9,14.0,10.0,137.34,1.7446111825018116,0.050146,0.051951,0.9915,137.34,10.0,0.25108239636001045,0.3012283963600105,23.713425874501915,729.6438730615973,168
10,15.0,10.0,147.15,1.8692262669662265,0.057322,0.0597903,0.9915,147.15,10.0,0.3560486079745309,0.4133706079745309,32.54153124125302,1001.2778843462464,168
11,16.0,10.0,156.96,1.9938413514306417,0.0649107,0.0682176,0.9916,156.96,10.0,0.49218605001982607,0.5570967500198261,43.855999786728106,1349.4153780531722,168
12,17.0,10.0,166.77,2.118456435895057,0.0728909,0.0772436,0.9916,166.77,10.0,0.6651431320514292,0.7380340320514291,58.09981901903694,1787.68673904729,168
13,18.0,10.0,176.58,2.243071520359472,0.0812379,0.0868802,0.9917,176.58,10.0,0.8810398552850018,0.9622777552850018,75.75282575073425,2330.856176945669,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0899238,0.0971401,0.9917,186.39000000000001,10.0,1.1464678125963357,1.2363916125963357,97.33172971554333,2994.822452785949,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0989161,0.1080376,0.9917,196.20000000000002,10.0,1.46849018852135,1.56740628852135,123.39000335697934,3796.6154879070564,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044641,0.0044679,0.9897,49.050000000000004,11.0,0.009710825847281843,0.014174925847281843,1.3502200638307769,45.69975600658013,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064228,0.0064342,0.9901,58.86,11.0,0.009931109745783498,0.016353909745783497,1.5577772539155004,52.724768594063086,168
18,7.0,11.0,68.67,0.720913711777608,0.0087341,0.0087604,0.9904,68.67,11.0,0.010578698750492594,0.019312798750492594,1.839623617265091,62.264183968972304,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113959,0.0114483,0.9907,78.48,11.0,0.01210880537489095,0.023504705374890952,2.238919986850908,75.77883032418458,168
20,9.0,11.0,88.29,0.9268890579997818,0.0144056,0.0144996,0.9909,88.29,11.0,0.015182699583435617,0.029588299583435618,2.818407389401015,95.39225010280357,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.01776,0.0179166,0.991,98.10000000000001,11.0,0.02066770879155889,0.03842770879155889,3.6603975199883454,123.89037759960551,168
22,11.0,11.0,107.91000000000001,1.1328644042219556,0.0214554,0.0217018,0.9911,107.91000000000001,11.0,0.029637217865668287,0.05109261786566829,4.866782267442535,164.7218613595935,168
23,12.0,11.0,117.72,1.2358520773330424,0.0254873,0.025858,0.9912,117.72,11.0,0.04337066912314655,0.06885796912314655,6.5590051381144265,221.99709698233443,168
24,13.0,11.0,127.53,1.3388397504441292,0.0298506,0.0303883,0.9913,127.53,11.0,0.06335356233235172,0.09320416233235172,8.878080306699738,300.488871919068,168
25,14.0,11.0,137.34,1.441827423555216,0.0345398,0.0352962,0.9913,137.34,11.0,0.09127745471261699,0.12581725471261698,11.984611667062715,405.633010269815,168
26,15.0,11.0,147.15,1.544815096666303,0.0395481,0.0405856,0.9914,147.15,11.0,0.12903996093425085,0.16858806093425086,16.05870710352966,543.5254711963885,168
27,16.0,11.0,156.96,1.6478027697773898,0.0448682,0.0462607,0.9915,156.96,11.0,0.17874475311853705,0.22361295311853704,21.30005469418357,720.9249281108283,168
28,17.0,11.0,166.77,1.7507904428884766,0.0504918,0.052326,0.9915,166.77,11.0,0.2427015608377344,0.2931933608377344,27.927875083804977,945.25115668263,168
29,18.0,11.0,176.58,1.8537781159995637,0.0564096,0.0587867,0.9915,176.58,11.0,0.32342617111507715,0.37983577111507716,36.18092148387198,1224.585034838744,168
30,19.0,11.0,186.39000000000001,1.9567657891106505,0.062611,0.0656482,0.9916,186.39000000000001,11.0,0.4236404284247748,0.48625142842477476,46.3174510963247,1567.6675755679128,168
31,20.0,11.0,196.20000000000002,2.0597534622217375,0.0690843,0.0729164,0.9916,196.20000000000002,11.0,0.5462722346920118,0.6153565346920118,58.615244164389,1983.9005717177815,168
32,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031542,0.0031553,0.9892,49.050000000000004,12.0,0.009242393976051306,0.012396593976051305,1.4052812779122092,51.88730872291234,168
33,6.0,12.0,58.86,0.5192295186017296,0.0045386,0.0045427,0.9897,58.86,12.0,0.009286356321714468,0.013824956321714469,1.5672008234190618,57.86587655701151,168
34,7.0,12.0,68.67,0.6057677717020179,0.0061731,0.0061833,0.9901,68.67,12.0,0.009481055318535003,0.015654155318535003,1.7745593211462323,65.5221903192455,168
35,8.0,12.0,78.48,0.6923060248023062,0.0080568,0.008078,0.9904,78.48,12.0,0.00996156575797034,0.01801836575797034,2.0425668620886483,75.41785336942701,168
36,9.0,12.0,88.29,0.7788442779025945,0.0101884,0.0102277,0.9906,88.29,12.0,0.010959899349687621,0.02114829934968762,2.3973769886480927,88.51853496546804,168
37,10.0,12.0,98.10000000000001,0.8653825310028828,0.0125665,0.0126334,0.9908,98.10000000000001,12.0,0.01280500472156369,0.02537150472156369,2.8761207027151174,106.19522594640435,168
38,11.0,12.0,107.91000000000001,0.951920784103171,0.0151894,0.0152964,0.9909,107.91000000000001,12.0,0.015922767419685104,0.031112167419685102,3.5268837936144353,130.22340161037914,168
