,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0441368,0.0454768,0.9914,49.050000000000004,10.0,0.15486735883388086,0.19900415883388087,5.973821980211667,183.80990708343592,168
1,6.0,10.0,58.86,1.9607857126916248,0.0628586,0.0659242,0.9916,58.86,10.0,0.4206041456587046,0.48346274565870456,14.512864422297408,446.5496745322279,168
2,7.0,10.0,68.67,2.2875833314735625,0.0843031,0.0904727,0.9917,68.67,10.0,0.9628177821506582,1.0471208821506581,31.43308048628204,967.1717072702168,168
3,8.0,10.0,78.48,2.6143809502554998,0.107987,0.1193465,0.9917,78.48,10.0,1.925681882447962,2.033668882447962,61.04784915867687,1878.3953587285189,168
4,9.0,10.0,88.29,2.9411785690374375,0.1332133,0.1528312,0.9918,88.29,10.0,3.4832198795413523,3.6164331795413522,108.56018358864962,3340.313341189219,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1589569,0.19129,0.9919,98.10000000000001,10.0,5.839305025274079,5.998261925274079,180.05929696263453,5540.286060388755,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1836582,0.2351884,0.9919,107.91000000000001,10.0,9.22766039034191,9.41131859034191,282.514406669713,8692.750974452709,168
7,12.0,10.0,117.72,3.9215714253832497,0.2048152,0.2851314,0.9919,117.72,10.0,13.911858864293118,14.116674064293118,423.76248972340954,13038.84583764337,168
8,13.0,10.0,127.53,4.248369044165187,0.2180592,0.3419274,0.992,127.53,10.0,20.18532315552852,20.403382355528517,612.4805365895087,18845.554971984882,168
9,14.0,10.0,137.34,4.575166662947125,0.2161137,0.399643,0.992,137.34,10.0,28.37132579130141,28.58743949130141,858.1542988438913,26404.747656735115,168
10,15.0,10.0,147.15,4.901964281729062,0.2161137,0.399643,0.992,147.15,10.0,38.82298911771762,39.03910281771762,1171.8983757264064,36058.411560812514,168
11,16.0,10.0,156.96,5.2287619005109995,0.2161137,0.399643,0.992,156.96,10.0,51.9232852997355,52.1393989997355,1565.1506461211577,48158.48141911254,168
12,17.0,10.0,166.77,5.555559519292937,0.2161137,0.399643,0.992,166.77,10.0,68.0850363211659,68.3011500211659,2050.3034391897813,63086.25966737789,168
13,18.0,10.0,176.58,5.882357138074875,0.2161137,0.399643,0.992,176.58,10.0,87.7509139846722,87.96702768467219,2640.645133226812,81250.61948390189,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.2161137,0.399643,0.992,186.39000000000001,10.0,111.39343991177026,111.60955361177025,3350.360155659684,103088.00478952874,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.2161137,0.399643,0.992,196.20000000000002,10.0,139.51498554282853,139.73109924282852,4194.528983048734,129062.43024765335,168
16,5.0,11.0,49.050000000000004,1.350403383396436,0.030361,0.0309205,0.9913,49.050000000000004,11.0,0.056598587537585586,0.08695958753758559,3.1585878865251598,106.90605154392847,168
17,6.0,11.0,58.86,1.6204840600757229,0.043427,0.0447174,0.9914,58.86,11.0,0.13905435014120018,0.18248135014120018,6.628175206369594,224.3382377540478,168
