,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0441368,0.0454768,0.9914,49.050000000000004,10.0,0.18334163526760444,0.22747843526760445,6.828579284919016,210.11013184366203,168
1,6.0,10.0,58.86,1.9607857126916248,0.0628586,0.0659242,0.9916,58.86,10.0,0.4842357661512909,0.5470943661512909,16.42299522238993,505.3229299196901,168
2,7.0,10.0,68.67,2.2875833314735625,0.0843031,0.0904727,0.9917,68.67,10.0,1.0893805259702516,1.1736836259702517,35.232314157255274,1084.0712048386238,168
3,8.0,10.0,78.48,2.6143809502554998,0.107987,0.1193465,0.9917,78.48,10.0,2.153997831165214,2.261984831165214,67.90156940689809,2089.2790586737874,168
4,9.0,10.0,88.29,2.9411785690374375,0.1332133,0.1528312,0.9918,88.29,10.0,3.8648378355338644,3.9980511355338644,120.01581218912786,3692.794221203934,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1589569,0.19129,0.9919,98.10000000000001,10.0,6.440178930230846,6.599135830230845,198.09667749679062,6095.282384516634,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1836582,0.2351884,0.9919,107.91000000000001,10.0,10.129827743767759,10.313485943767759,309.5961882631496,9526.036561943063,168
7,12.0,10.0,117.72,3.9215714253832497,0.2048152,0.2851314,0.9919,117.72,10.0,15.215119142013155,15.419934342013155,462.88451078368115,14242.600331805574,168
8,13.0,10.0,127.53,4.248369044165187,0.2180592,0.3419274,0.992,127.53,10.0,22.00891622819257,22.22697542819257,667.2222085438917,20529.914109042817,168
9,14.0,10.0,137.34,4.575166662947125,0.2161137,0.399643,0.992,137.34,10.0,30.85561034288847,31.07172404288847,932.7289898771543,28699.353534681664,168
10,15.0,10.0,147.15,4.901964281729062,0.2161137,0.399643,0.992,147.15,10.0,42.13112106404027,42.34723476404027,1271.2037945185793,39113.96290826398,168
11,16.0,10.0,156.96,5.2287619005109995,0.2161137,0.399643,0.992,156.96,10.0,56.242896206944394,56.459009906944395,1694.8192255853035,52148.28386416318,168
