,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.006523,0.006541,0.9906,49.050000000000004,10.0,0.017194732518991614,0.023717732518991615,1.8671171071408206,57.44975714279447,168
1,6.0,10.0,58.86,0.7476905067864906,0.009381,0.0094242,0.9908,58.86,10.0,0.018082210584912526,0.027463210584912526,2.1619701739633728,66.522159198873,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127495,0.0128382,0.991,68.67,10.0,0.02233092697000498,0.03508042697000498,2.761615819263202,84.97279443886774,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166229,0.0167863,0.9912,78.48,10.0,0.032889189465862584,0.04951208946586258,3.8977110977187643,119.92957223750044,168
4,9.0,10.0,88.29,1.121535760179736,0.0209945,0.021273,0.9913,88.29,10.0,0.05347636369243645,0.07447086369243644,5.862526001267678,180.38541542362086,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0258565,0.0263031,0.9914,98.10000000000001,10.0,0.08858287309803518,0.11443937309803519,9.00894345910673,277.1982602802071,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0311994,0.0318824,0.9915,107.91000000000001,10.0,0.14347019895932495,0.17466959895932493,13.750412104244768,423.0896032075313,168
7,12.0,10.0,117.72,1.4953810135729813,0.0370122,0.0380172,0.9915,117.72,10.0,0.22417088038132923,0.26118308038132926,20.56096201798507,632.6449851687714,168
8,13.0,10.0,127.53,1.6199960980373964,0.0432822,0.0447147,0.9916,127.53,10.0,0.3374885142974293,0.3807707142974293,29.975188985442976,922.3135072443991,168
9,14.0,10.0,137.34,1.7446111825018116,0.0499947,0.051983,0.9916,137.34,10.0,0.4909977554693639,0.5409924554693639,42.588230878822365,1310.4071039637652,168
10,15.0,10.0,147.15,1.8692262669662265,0.0571329,0.0598308,0.9917,147.15,10.0,0.6930443164872291,0.7501772164872291,59.05575978517441,1817.1003010822892,168
11,16.0,10.0,156.96,1.9938413514306417,0.0646775,0.068268,0.9917,156.96,10.0,0.9527449677694787,1.0174224677694788,80.09395051743292,2464.4292466902434,168
12,17.0,10.0,166.77,2.118456435895057,0.0726063,0.0773054,0.9917,166.77,10.0,1.2799875375629235,1.3525938375629234,106.47944912544949,3276.290742321523,168
13,18.0,10.0,176.58,2.243071520359472,0.0808942,0.0869548,0.9918,176.58,10.0,1.6854309119427326,1.7663251119427326,139.04937289599368,4278.442242953652,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0895122,0.0972292,0.9918,186.39000000000001,10.0,2.180505034812432,2.2700172348124323,178.70123163034108,5498.499434779726,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.098427,0.1081429,0.9918,196.20000000000002,10.0,2.7774109079039055,2.8758379079039056,226.3928961553084,6965.93526631718,168
16,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044597,0.0044666,0.9902,49.050000000000004,11.0,0.01743165206738483,0.02189135206738483,2.085241440006148,70.57740258482346,168
17,6.0,11.0,58.86,0.6179260386665212,0.0064159,0.0064332,0.9906,58.86,11.0,0.017163255983732584,0.023579155983732586,2.2460117139544873,76.01885801076726,168
18,7.0,11.0,68.67,0.720913711777608,0.0087237,0.00876,0.9908,68.67,11.0,0.01761782046420178,0.02634152046420178,2.509138307019396,84.92468116065649,168
19,8.0,11.0,78.48,0.8239013848886949,0.0113808,0.0114489,0.991,78.48,11.0,0.01998315432728505,0.031363954327285046,2.9875458164666875,101.1169353265648,168
20,9.0,11.0,88.29,0.9268890579997818,0.0143843,0.0145015,0.9911,88.29,11.0,0.025812845774227773,0.04019714577422777,3.8289436796948415,129.59501685121,168
21,10.0,11.0,98.10000000000001,1.0298767311108687,0.0177308,0.0179203,0.9912,98.10000000000001,11.0,0.037026262389028064,0.05475706238902807,5.215835699646836,176.53597752650828,168
