,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6339880939096876,0.0440141,0.0455022,0.9916,49.050000000000004,10.0,0.3821712226440696,0.4261853226440696,12.793477598525897,393.6454645700275,168
1,6.0,10.0,58.86,1.9607857126916248,0.0626378,0.0659719,0.9917,58.86,10.0,1.016988573351235,1.079626373351235,32.40884912825136,997.1953577923495,168
2,7.0,10.0,68.67,2.2875833314735625,0.0839362,0.0905523,0.9918,68.67,10.0,2.2269864808836526,2.3109226808836527,69.3706140943327,2134.4804336717752,168
3,8.0,10.0,78.48,2.6143809502554998,0.1074117,0.1194693,0.9918,78.48,10.0,4.277555810578234,4.384967510578234,131.63049179827763,4050.1689784085415,168
4,9.0,10.0,88.29,2.9411785690374375,0.1323485,0.15301,0.9919,88.29,10.0,7.48362226724284,7.61597076724284,228.6206169589805,7034.480521814785,168
5,10.0,10.0,98.10000000000001,3.267976187819375,0.1576966,0.1915386,0.9919,98.10000000000001,10.0,12.209646395156279,12.367342995156278,371.2500575576067,11423.078694080205,168
6,11.0,10.0,107.91000000000001,3.5947738066013124,0.1818616,0.2355205,0.9919,107.91000000000001,10.0,18.869623578068307,19.051485178068308,571.8985049323745,17596.877074842294,168
7,12.0,10.0,117.72,3.9215714253832497,0.2022905,0.2855589,0.992,117.72,10.0,27.92708403919962,28.12937453919962,844.4038400833058,25981.656617947872,168
8,13.0,10.0,127.53,4.248369044165187,0.214532,0.3424541,0.992,127.53,10.0,39.8950928412419,40.109624841241896,1204.033925213934,37047.197698890275,168
9,14.0,10.0,137.34,4.575166662947125,0.214532,0.3424541,0.992,137.34,10.0,55.33624988635773,55.550781886357726,1667.5555113784371,51309.40035010576,168
10,15.0,10.0,147.15,4.901964281729062,0.214532,0.3424541,0.992,147.15,10.0,74.86268991618066,75.07722191618066,2253.7114858513773,69344.96879542699,168
11,16.0,10.0,156.96,5.2287619005109995,0.214532,0.3424541,0.992,156.96,10.0,99.1360825118152,99.35061451181521,2982.3642289488316,91765.05319842556,168
12,17.0,10.0,166.77,5.555559519292937,0.214532,0.3424541,0.992,166.77,10.0,128.8676320938368,129.08216409383678,3874.863086458109,119226.55650640334,168
13,18.0,10.0,176.58,5.882357138074875,0.214532,0.3424541,0.992,176.58,10.0,164.81807792229185,165.03260992229184,4954.044369637755,152432.13445039245,168
14,19.0,10.0,186.39000000000001,6.209154756856813,0.214532,0.3424541,0.992,186.39000000000001,10.0,207.7976940966977,208.0122260966977,6244.2313552175465,192130.19554515526,168
15,20.0,10.0,196.20000000000002,6.53595237563875,0.214532,0.3424541,0.992,196.20000000000002,10.0,258.66628955604267,258.8808215560427,7771.234285398493,239114.9010891844,168
