,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065463,0.0065482,0.9886,49.050000000000004,10.0,0.015238661824289996,0.021784961824289996,1.7149647365308467,52.76814573941067,168
1,6.0,10.0,58.86,0.7476905067864906,0.0094179,0.0094292,0.9892,58.86,10.0,0.014028406826550963,0.023446306826550963,1.8457498219980404,56.79230221532432,168
2,7.0,10.0,68.67,0.8723055912509058,0.0128059,0.0128391,0.9897,68.67,10.0,0.013063441658208615,0.025869341658208617,2.036496967905158,62.661445166312554,168
3,8.0,10.0,78.48,0.9969206757153208,0.0167065,0.0167811,0.99,78.48,10.0,0.013713436170280037,0.030419936170280035,2.3947307431763076,73.6840228669633,168
4,9.0,10.0,88.29,1.121535760179736,0.0211143,0.0212593,0.9903,88.29,10.0,0.017996826548556857,0.039111126548556856,3.078922211467151,94.7360680451431,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0260229,0.0262783,0.9905,98.10000000000001,10.0,0.028580815313605245,0.05460371531360525,4.298536164612002,132.26265121883083,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0314246,0.0318434,0.9907,107.91000000000001,10.0,0.048781371320765876,0.08020597132076587,6.314007505900271,194.27715402770065,168
7,12.0,10.0,117.72,1.4953810135729813,0.03731,0.0379607,0.9908,117.72,10.0,0.082563229760154,0.119873229760154,9.436709761111747,290.36030034189986,168
8,13.0,10.0,127.53,1.6199960980373964,0.0436683,0.044637,0.9909,127.53,10.0,0.13453989215665937,0.17820819215665937,14.028978695240127,431.66088293046545,168
9,14.0,10.0,137.34,1.7446111825018116,0.0504867,0.05188,0.991,137.34,10.0,0.20997362636994643,0.2604603263699464,20.504065079045944,630.8943101244905,168
10,15.0,10.0,147.15,1.8692262669662265,0.0577504,0.0596983,0.9911,147.15,10.0,0.31477546659445393,0.3725258665944539,29.326134689056527,902.3426058171237,168
11,16.0,10.0,156.96,1.9938413514306417,0.0654425,0.0681013,0.9912,156.96,10.0,0.45550521335939537,0.5209477133593954,41.01026043532487,1261.854167240765,168
