case,u,cl,cd,alpha,wing_cd,body_cd,misc_cd,power
u_09_sl,9.0,0.07056100537449608,0.027143562872152534,-0.9369699999999999,0.015963419213688212,0.0036191793736989695,0.0075609642847653535,30.543766860225738
u_10_sl,10.0,0.057163676643939385,0.026850678089683316,-1.23114,0.01575371589756532,0.003535997907352639,0.0075609642847653535,41.44608114925331
u_11_sl,11.0,0.04724386743741886,0.026318305927930365,-1.45071,0.015294546045077366,0.0034627955980876452,0.0075609642847653535,54.070975088590714
u_12_sl,12.0,0.03970039163732035,0.02562656829415341,-1.62726,0.014668129331618669,0.0033974746777693863,0.0075609642847653535,68.35375950463245
u_13_sl,13.0,0.03383514825314655,0.024964637062534115,-1.78928,0.014065796042626724,0.003337876735142034,0.0075609642847653535,84.66102625448161
u_14_sl,14.0,0.02917754193449479,0.02433913876998804,-1.93937,0.013495127188039071,0.0032830472971836127,0.0075609642847653535,103.09023484553211
u_15_sl,15.0,0.02542493984108049,0.02372215579384811,-2.08393,0.012929201598040065,0.003231989911042693,0.0075609642847653535,123.58226369155572
u_16_sl,16.0,0.02234477131548055,0.023150600977089302,-2.18938,0.01240343490979451,0.003186201782529438,0.0075609642847653535,146.36944719991234
u_17_sl,17.0,0.019795441503070214,0.022595113743086134,-2.2655,0.011889210772004612,0.003144938686316171,0.0075609642847653535,171.35213150480382
u_18_sl,18.0,0.017653071439327515,0.022039506735761438,-2.33391,0.011371927261923076,0.0031066151890730104,0.0075609642847653535,198.40271039498617
u_19_sl,19.0,0.01583990416084129,0.02148738360873005,-2.39784,0.010855676552734287,0.003070742771230411,0.0075609642847653535,227.49536628527957
u_20_sl,20.0,0.01429077911442277,0.020925896202828732,-2.45739,0.010327858509388367,0.0030370734086750126,0.0075609642847653535,258.40580688396915
u_21_sl,21.0,0.012970809145385582,0.020483463590246966,-2.50938,0.009916870486240398,0.003005628819241215,0.0075609642847653535,292.81241975091757
u_22_sl,22.0,0.011811822699456298,0.020193906769388884,-2.55284,0.009656618355198435,0.0029763241294250963,0.0075609642847653535,331.90714717246715
u_23_sl,23.0,0.010811586812006243,0.019929677752712628,-2.59247,0.009420022317992913,0.0029486911499543595,0.0075609642847653535,374.2932539490285
u_24_sl,24.0,0.009924088407028447,0.01968427046152865,-2.62966,0.009200804173963868,0.002922502002799428,0.0075609642847653535,420.03092219208696
