CLa,CLb,CYa,CYb,Cla,Clb,Cma,Cmb,Cna,Cnb,CLp,CLq,CLr,CYp,CYq,CYr,Clp,Clq,Clr,Cmp,Cmq,Cmr,Cnp,Cnq,Cnr,CLd01,CLd02,CYd01,CYd02,Cld01,Cld02,Cmd01,Cmd02,Cnd01,Cnd02,CDffd01,CDffd02,ed01,ed02,Xnp,Cnb_1
6.828081,-0.030517,0.02401,-0.264322,-0.000476,-0.017298,-0.762655,0.14753,-0.006474,0.073077,0.003341,11.189028,0.016779,0.056015,0.32748,0.144621,-0.777256,-0.006755,0.169071,-0.016192,-24.321769,-0.081126,-0.067291,-0.088868,-0.042866,0.00511,0.000275,0.000208,0.002794,0.0,8.6e-05,-0.025293,-0.001345,-5.7e-05,-0.000774,-0.000204,0.000133,0.051257,-0.02134,0.528929,0.060016
6.798382,-0.030844,0.024519,-0.266818,-0.000327,-0.015885,-0.807424,0.149354,-0.006628,0.073127,0.002986,11.142945,0.017026,0.048928,0.333069,0.147274,-0.774829,-0.004711,0.136677,-0.014496,-24.56447,-0.082457,-0.05473,-0.090449,-0.042248,0.005188,0.000282,0.000216,0.002844,0.0,8.8e-05,-0.025675,-0.001379,-5.9e-05,-0.000788,-0.000166,0.000111,0.064345,-0.02733,0.530761,0.067144
6.734711,-0.030866,0.024767,-0.267827,-0.000211,-0.014683,-0.860653,0.149676,-0.006704,0.073006,0.002692,11.027678,0.017083,0.043204,0.334683,0.148604,-0.770088,-0.003124,0.113476,-0.013092,-24.707211,-0.082849,-0.045585,-0.090909,-0.041819,0.005217,0.000285,0.000219,0.002866,1e-06,9e-05,-0.025833,-0.001393,-6e-05,-0.000794,-0.00014,9.3e-05,0.079644,-0.03394,0.533099,0.074119
6.656284,-0.030975,0.025081,-0.268932,-0.000121,-0.013748,-0.920347,0.150379,-0.006795,0.073036,0.002464,10.897066,0.017175,0.038687,0.337144,0.149716,-0.763867,-0.001902,0.095938,-0.012003,-24.863558,-0.083392,-0.038633,-0.09157,-0.041611,0.005248,0.000288,0.000223,0.00289,1e-06,9.1e-05,-0.026004,-0.00141,-6.1e-05,-0.0008,-0.000119,7.9e-05,0.097125,-0.041552,0.535811,0.081642
6.578416,-0.031335,0.025602,-0.270834,-4.6e-05,-0.013068,-0.981417,0.152262,-0.006937,0.073348,0.002293,10.783202,0.017399,0.035205,0.342574,0.151116,-0.757346,-0.000895,0.08223,-0.011182,-25.066422,-0.084558,-0.033182,-0.093014,-0.041638,0.005298,0.000295,0.000229,0.002926,1e-06,9.2e-05,-0.026269,-0.001443,-6.2e-05,-0.00081,-0.000104,6.9e-05,0.118323,-0.051142,0.53864,0.090215
6.500441,-0.031686,0.026103,-0.272605,1.8e-05,-0.012589,-1.039626,0.154088,-0.007073,0.073671,0.002146,10.671913,0.017613,0.03241,0.347822,0.152337,-0.750434,-2.9e-05,0.07123,-0.010475,-25.254543,-0.085665,-0.028795,-0.094401,-0.041715,0.005344,0.000301,0.000235,0.002961,1e-06,9.3e-05,-0.026516,-0.001474,-6.4e-05,-0.000819,-9.2e-05,6.1e-05,0.143588,-0.062802,0.541422,0.100077
6.424393,-0.032076,0.026625,-0.274459,7.6e-05,-0.012242,-1.095702,0.156082,-0.007213,0.074044,0.002019,10.568589,0.017846,0.030129,0.353411,0.153536,-0.743431,0.000737,0.062343,-0.009866,-25.444305,-0.086848,-0.025216,-0.095873,-0.041851,0.005393,0.000307,0.000241,0.002996,1e-06,9.4e-05,-0.026776,-0.001507,-6.6e-05,-0.000829,-8.1e-05,5.4e-05,0.173616,-0.077037,0.544173,0.110986
6.346485,-0.03226,0.026946,-0.275504,0.000124,-0.011903,-1.147124,0.157083,-0.0073,0.074236,0.001904,10.454693,0.01796,0.028072,0.356205,0.154232,-0.73627,0.001352,0.055397,-0.009314,-25.576441,-0.087463,-0.022335,-0.096595,-0.041909,0.00542,0.000311,0.000245,0.003017,1e-06,9.4e-05,-0.026931,-0.001526,-6.7e-05,-0.000834,-7.3e-05,4.8e-05,0.205376,-0.091588,0.546814,0.121305
6.272212,-0.032509,0.027312,-0.27673,0.000163,-0.011583,-1.196607,0.158383,-0.007399,0.074495,0.001814,10.351934,0.018108,0.026273,0.359686,0.155005,-0.729343,0.00186,0.049841,-0.008879,-25.718537,-0.08824,-0.019978,-0.097502,-0.042021,0.005453,0.000316,0.000249,0.003042,1e-06,9.5e-05,-0.027114,-0.001549,-6.8e-05,-0.000841,-6.6e-05,4.3e-05,0.241055,-0.108185,0.549412,0.131086
6.200414,-0.03271,0.027627,-0.277748,0.000198,-0.01134,-1.242317,0.159457,-0.007484,0.074711,0.001731,10.252324,0.018229,0.024717,0.362575,0.155639,-0.722421,0.002306,0.045096,-0.008482,-25.840482,-0.08888,-0.017952,-0.098251,-0.042115,0.00548,0.000319,0.000253,0.003062,1e-06,9.6e-05,-0.027267,-0.001568,-6.9e-05,-0.000846,-5.9e-05,3.9e-05,0.28286,-0.127922,0.551893,0.141744
6.128752,-0.032946,0.027972,-0.278866,0.00023,-0.011148,-1.287966,0.160693,-0.007577,0.074961,0.001658,10.156179,0.018368,0.023345,0.365863,0.156316,-0.715542,0.002707,0.041103,-0.008131,-25.969231,-0.089608,-0.016218,-0.099107,-0.042235,0.005511,0.000323,0.000257,0.003085,1e-06,9.7e-05,-0.027437,-0.00159,-7e-05,-0.000852,-5.4e-05,3.6e-05,0.330899,-0.150976,0.554429,0.152809
6.057377,-0.033157,0.028298,-0.279875,0.000259,-0.011006,-1.332132,0.161814,-0.007665,0.075188,0.001589,10.060229,0.018492,0.022122,0.368853,0.156918,-0.708761,0.003068,0.037633,-0.007801,-26.086844,-0.090265,-0.014703,-0.099883,-0.042345,0.005537,0.000327,0.00026,0.003105,1e-06,9.7e-05,-0.027588,-0.001609,-7.1e-05,-0.000858,-5e-05,3.3e-05,0.387748,-0.178652,0.556959,0.164706
6.007719,-0.033207,0.028416,-0.280253,0.000284,-0.010883,-1.358196,0.162123,-0.007696,0.075256,0.001524,9.989458,0.018524,0.021121,0.369711,0.157147,-0.702974,0.003378,0.034651,-0.007488,-26.133982,-0.090459,-0.0134,-0.10009,-0.042366,0.005544,0.000328,0.000261,0.003113,1e-06,9.8e-05,-0.027634,-0.001617,-7.1e-05,-0.00086,-4.6e-05,3e-05,0.453966,-0.210811,0.558553,0.176801
5.98304,-0.03327,0.028494,-0.280631,0.000306,-0.01079,-1.370718,0.162444,-0.007717,0.075327,0.001475,9.958127,0.018563,0.02037,0.370534,0.157372,-0.698916,0.003656,0.032049,-0.00725,-26.166388,-0.090657,-0.01228,-0.100289,-0.042392,0.005552,0.00033,0.000262,0.00312,1e-06,9.8e-05,-0.02768,-0.001624,-7.1e-05,-0.000862,-4.3e-05,2.8e-05,0.5319,-0.249889,0.559337,0.189464
5.956861,-0.033388,0.028632,-0.281202,0.000327,-0.010714,-1.3857,0.163033,-0.007754,0.075453,0.001433,9.927517,0.018632,0.01969,0.372031,0.157704,-0.694978,0.003911,0.029782,-0.007047,-26.215525,-0.091004,-0.011294,-0.100669,-0.042451,0.005566,0.000332,0.000264,0.003132,1e-06,9.8e-05,-0.027754,-0.001635,-7.2e-05,-0.000865,-3.9e-05,2.6e-05,0.625142,-0.297638,0.560249,0.202404
5.937136,-0.033456,0.028717,-0.281575,0.000345,-0.010646,-1.39649,0.163372,-0.007776,0.075529,0.001395,9.903782,0.018673,0.019105,0.372889,0.157918,-0.691931,0.004138,0.027784,-0.00686,-26.246595,-0.091208,-0.010422,-0.100879,-0.042482,0.005574,0.000333,0.000265,0.003139,1e-06,9.8e-05,-0.0278,-0.001642,-7.2e-05,-0.000867,-3.7e-05,2.4e-05,0.738676,-0.356709,0.56092,0.215511
