j,Xle,Yle,Zle,Chord,Area,c_cl,ai,cl_norm,cl,cd,cdv,cm_c/4,cm_LE,C.P.x/c,surface,wing,panel,Chordwise,Spanwise,strip,Ssurf,Cave,CLsurf,Clsurf,CYsurf,Cmsurf,CDsurf,Cnsurf,CDisurf,CDvsurf,CLsurf_1,CDsurf_1
1.0,0.4,0.0019,0.0,0.29,0.0022,0.0598,0.0019,0.2062,0.2062,0.0005,0.0,0.0024,-0.0492,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
2.0,0.4,0.0174,0.0,0.29,0.0067,0.0598,0.0018,0.2062,0.2062,0.0005,0.0,0.0024,-0.0492,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
3.0,0.4,0.048,0.0,0.29,0.011,0.0598,0.0015,0.2062,0.2062,0.0005,0.0,0.0024,-0.0492,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
4.0,0.4,0.0928,0.0,0.29,0.015,0.0598,-0.0,0.2062,0.2062,0.0005,0.0,0.0024,-0.0491,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
5.0,0.4,0.1509,0.0,0.29,0.0186,0.0598,-0.0289,0.2061,0.2061,0.0005,0.0,0.0024,-0.0491,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
6.0,0.4,0.2208,0.0,0.29,0.0218,0.0597,-0.0051,0.206,0.206,0.0005,0.0,0.0024,-0.0491,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
7.0,0.4,0.3008,0.0,0.29,0.0244,0.0597,0.0114,0.2058,0.2058,0.0005,0.0,0.0024,-0.049,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
8.0,0.4,0.3889,0.0,0.29,0.0265,0.0596,0.0091,0.2055,0.2055,0.0005,0.0,0.0024,-0.049,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
9.0,0.4,0.4829,0.0,0.29,0.0279,0.0595,-0.0219,0.2051,0.2051,0.0005,0.0,0.0024,-0.0489,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
10.0,0.4,0.5806,0.0,0.29,0.0286,0.0593,0.0103,0.2046,0.2046,0.0006,0.0,0.0024,-0.0487,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
11.0,0.4,0.6794,0.0,0.29,0.0286,0.0591,0.0074,0.2039,0.2039,0.0006,0.0,0.0024,-0.0486,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
12.0,0.4,0.7771,0.0,0.29,0.0279,0.0589,0.0349,0.2031,0.2031,0.0006,0.0,0.0024,-0.0484,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
13.0,0.4,0.8711,0.0,0.29,0.0265,0.0586,-0.0032,0.2021,0.2021,0.0006,0.0,0.0024,-0.0481,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
14.0,0.4,0.9592,0.0,0.29,0.0244,0.0583,0.0041,0.201,0.201,0.0006,0.0,0.0024,-0.0478,0.238,main_wing_panel_0,main_wing,0,12.0,20.0,1.0,0.3654,0.29,0.05777,-0.00729,-0.0,0.00691,0.00017,0.0001,0.00017,0.0,0.20316,0.00058
