Surfaces,Strips,Sref,Cref,Bref,Xref,Yref,Zref,Alpha,pb/2V,p'b/2V,Beta,qc/2V,Mach,rb/2V,r'b/2V,CXtot,Cltot,Cl'tot,CYtot,Cmtot,CZtot,Cntot,Cn'tot,CLtot,CDtot,CDvis,CDind,CLff,CDff,CYff,e,elevator,rudder
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,4.37202,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.04458,-4e-05,-4e-05,5e-05,-0.0,-0.69092,-0.0,-0.0,0.69231,0.00822,0.0,0.0082156,0.69292,0.0069122,4e-05,1.1577,-0.63973,-0.58628
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,3.10238,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.02498,-3e-05,-3e-05,4e-05,-0.0,-0.56024,-0.0,-0.0,0.56077,0.00538,0.0,0.0053808,0.56105,0.0045126,4e-05,1.1626,0.00617,-0.55198
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,2.17532,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.01392,-2e-05,-2e-05,3e-05,-0.0,-0.46325,-0.0,-0.0,0.46344,0.00367,0.0,0.003672,0.46358,0.0030622,3e-05,1.1697,0.52576,-0.43678
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,1.46432,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.00736,-1e-05,-1e-05,2e-05,-0.0,-0.38936,-0.0,-0.0,0.38942,0.00259,0.0,0.0025919,0.38949,0.0021474,2e-05,1.1774,0.92609,-0.34913
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,0.88339,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.00323,-1e-05,-1e-05,2e-05,-0.0,-0.3318,-0.0,-0.0,0.33182,0.00188,0.0,0.0018823,0.33184,0.0015407,2e-05,1.1912,1.25063,-0.31348
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,0.39868,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.00059,-1e-05,-1e-05,2e-05,-0.0,-0.28611,-0.0,-0.0,0.28611,0.0014,0.0,0.0014002,0.28612,0.0011268,2e-05,1.2108,1.54709,-0.28829
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-0.01813,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.00114,-1e-05,-1e-05,2e-05,-0.0,-0.24923,0.0,-0.0,0.24923,0.00106,0.0,0.0010639,0.24923,0.0008379,2e-05,1.2355,1.83144,-0.26311
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-0.34728,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.00215,-0.0,-0.0,1e-05,-0.0,-0.21904,0.0,-0.0,0.21905,0.00082,0.0,0.000824,0.21904,0.0006378,1e-05,1.2537,2.09068,-0.19345
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-0.61081,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.00272,-0.0,-0.0,1e-05,-0.0,-0.19402,0.0,-0.0,0.19404,0.00065,0.0,0.0006484,0.19403,0.0004927,1e-05,1.2734,2.29671,-0.13
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-0.83779,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.00305,-0.0,-0.0,0.0,-0.0,-0.17305,0.0,-0.0,0.17308,0.00052,0.0,0.0005178,0.17307,0.0003846,0.0,1.2979,2.48972,-0.07075
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-1.03651,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.00323,0.0,0.0,-0.0,-0.0,-0.1553,-0.0,-0.0,0.15534,0.00042,0.0,0.0004191,0.15533,0.0003034,-0.0,1.3252,2.66739,-0.0149
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-1.21174,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.00331,0.0,0.0,-1e-05,-0.0,-0.14015,-0.0,0.0,0.14019,0.00034,0.0,0.0003429,0.14018,0.0002412,-1e-05,1.3577,2.82995,0.03367
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-1.3687,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.00332,0.0,0.0,-1e-05,-0.0,-0.12712,-0.0,0.0,0.12716,0.00028,0.0,0.0002837,0.12715,0.0001932,-1e-05,1.3949,2.98145,0.06633
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-1.50853,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.00329,1e-05,1e-05,-1e-05,0.0,-0.11581,-0.0,0.0,0.11586,0.00024,0.0,0.0002372,0.11585,0.0001554,-1e-05,1.4395,3.12699,0.09682
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-1.63207,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.00322,1e-05,1e-05,-1e-05,0.0,-0.10596,-0.0,0.0,0.10601,0.0002,0.0,0.0002,0.106,0.0001256,-1e-05,1.4908,3.25532,0.12504
10.0,200.0,1.285,0.259,4.954,0.5,0.0,0.0,-1.7442,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.00313,1e-05,1e-05,-1e-05,0.0,-0.09731,-0.0,0.0,0.09736,0.00017,0.0,0.0001699,0.09735,0.0001018,-2e-05,1.552,3.37934,0.15291
