u,cl,cd,L/D,alpha
9.0,0.6921936008783159,0.029267086182758667,23.650922970462613,-0.9369699999999999
10.0,0.5606948896424684,0.02546463483266879,22.018571769313112,3.10238
11.0,0.46337229335623825,0.02296506678016249,20.177267403224143,2.17532
12.0,0.3893635283521475,0.021164335858557586,18.397153161539546,1.46432
13.0,0.33177702001583836,0.0196822676999635,16.85664604675881,0.88339
14.0,0.2860705137136235,0.018439691436588405,15.513844941352797,0.39868
15.0,0.24920408096540658,0.01737105647978662,14.34593694720793,-0.01813
16.0,0.21901829714832965,0.01655170897242473,13.232367576859632,-0.34728
17.0,0.19400809742047664,0.015869210927231113,12.225440717254838,-0.61081
18.0,0.173052222323669,0.01524317158075018,11.35277008507913,-0.83779
19.0,0.15531739481354656,0.014635357163815328,10.612477240907763,-1.03651
20.0,0.14017388774336398,0.014037560008657343,9.985630526737905,-1.21174
21.0,0.12713784024114405,0.013565142395184766,9.372392602843176,-1.3687
