,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0065309,0.006542,0.9901,49.050000000000004,10.0,0.013540455001412679,0.020071355001412678,1.5800654744978715,48.61739921531911,168
1,6.0,10.0,58.86,0.7476905067864906,0.009394,0.0094244,0.9905,58.86,10.0,0.013588399921768267,0.022982399921768266,1.809229951586864,55.668613894980425,168
2,7.0,10.0,68.67,0.8723055912509058,0.0127696,0.0128369,0.9907,68.67,10.0,0.014151439123671021,0.026921039123671022,2.1192891289066007,65.20889627404925,168
3,8.0,10.0,78.48,0.9969206757153208,0.0166526,0.016783,0.9909,78.48,10.0,0.01580801141469004,0.03246061141469004,2.5553776201872425,78.62700369806899,168
4,9.0,10.0,88.29,1.121535760179736,0.0210369,0.0212668,0.9911,88.29,10.0,0.019363342987209965,0.04040024298720997,3.180404566653439,97.85860205087505,168
5,10.0,10.0,98.10000000000001,1.2461508446441512,0.0259149,0.0262933,0.9912,98.10000000000001,10.0,0.025849447418430996,0.051764347418431,4.075014275818407,125.38505464056637,168
6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0312778,0.0318679,0.9913,107.91000000000001,10.0,0.03652512567036886,0.06780292567036886,5.337609838207483,164.23414886792253,168
7,12.0,10.0,117.72,1.4953810135729813,0.0371151,0.0379971,0.9914,117.72,10.0,0.05287596608985483,0.08999106608985483,7.084313766152206,217.97888511237556,168
8,13.0,10.0,127.53,1.6199960980373964,0.0434147,0.0446878,0.9914,127.53,10.0,0.07661434440853578,0.12002904440853578,9.448975866031507,290.7377189548156,168
9,14.0,10.0,137.34,1.7446111825018116,0.0501625,0.0519479,0.9915,137.34,10.0,0.10967942374287404,0.15984192374287404,12.583141749306956,387.1735922863678,168
10,15.0,10.0,147.15,1.8692262669662265,0.0573423,0.0597863,0.9915,147.15,10.0,0.1542371545941476,0.21157945459414762,16.65604496028161,512.4936910855878,168
11,16.0,10.0,156.96,1.9938413514306417,0.0649356,0.0682126,0.9916,156.96,10.0,0.21268027484844987,0.27761587484844985,21.8545912316176,672.4489609728492,168
12,17.0,10.0,166.77,2.118456435895057,0.072921,0.0772376,0.9916,166.77,10.0,0.2876283097766899,0.3605493097766899,28.383311250889097,873.3326538735106,168
13,18.0,10.0,176.58,2.243071520359472,0.081274,0.0868728,0.9916,176.58,10.0,0.3819275720345924,0.4632015720345924,36.464344916099876,1121.979843572304,168
14,19.0,10.0,186.39000000000001,2.367686604823887,0.0899667,0.0971314,0.9917,186.39000000000001,10.0,0.49865116166269724,0.5886178616626973,46.3374177189598,1425.7666990449168,168
15,20.0,10.0,196.20000000000002,2.4923016892883023,0.0989669,0.1080273,0.9917,196.20000000000002,10.0,0.6410989660863602,0.7400658660863602,58.25976989471416,1792.6083044527431,168
16,5.0,10.75,49.050000000000004,0.5391674828098003,0.0048936,0.0048983,0.9898,49.050000000000004,10.75,0.012694863803674065,0.017588463803674063,1.6000856451399696,52.92590980078361,168
17,6.0,10.75,58.86,0.6470009793717604,0.0070406,0.0070545,0.9902,58.86,10.75,0.012660720282478164,0.019701320282478164,1.7922997782053722,59.28376189448539,168
18,7.0,10.75,68.67,0.7548344759337204,0.0095737,0.0096057,0.9905,68.67,10.75,0.012794040446692762,0.022367740446692763,2.0348735854630764,67.30735705762481,168
19,8.0,10.75,78.48,0.8626679724956805,0.0124904,0.012554,0.9907,78.48,10.75,0.01333312822397375,0.02582352822397375,2.3492589960821895,77.70625910118011,168
20,9.0,10.75,88.29,0.9705014690576406,0.0157873,0.0159016,0.9909,88.29,10.75,0.014643177688524998,0.030430477688525,2.7683697148121493,91.56915210532495,168
21,10.0,10.75,98.10000000000001,1.0783349656196006,0.0194606,0.0196512,0.991,98.10000000000001,10.75,0.017216273061098356,0.03667687306109836,3.3366267087763153,110.3653449826012,168
22,11.0,10.75,107.91000000000001,1.1861684621815607,0.0235058,0.0238058,0.9911,107.91000000000001,10.75,0.021671388708993655,0.045177188708993656,4.109930915395813,135.94386874001535,168
23,12.0,10.75,117.72,1.2940019587435208,0.0279174,0.0283687,0.9912,117.72,10.75,0.028754389146058715,0.056671789146058714,5.155635950313384,170.532573741135,168
