,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.5598212687078963,0.0766484,0.0794605,0.9633,49.050000000000004,10.0,0.08476682111970195,0.16141522111970197,5.075848595448314,156.17995678302503,168
1,6.0,10.0,58.86,1.8717855224494753,0.1093784,0.1159597,0.9639,58.86,10.0,0.21042324882474653,0.31980164882474654,10.056454024279205,309.4293545932063,168
2,7.0,10.0,68.67,2.1837497761910547,0.1469653,0.1605561,0.9644,68.67,10.0,0.46379824360813743,0.6107635436081374,19.20601572434982,590.9543299799946,168
3,8.0,10.0,78.48,2.4957140299326337,0.1884042,0.2142269,0.9648,78.48,10.0,0.9090697689351309,1.097473968935131,34.51106819492214,1061.8790213822197,168
4,9.0,10.0,88.29,2.807678283674213,0.2319426,0.278357,0.9652,88.29,10.0,1.6232341290862227,1.8551767290862227,58.337721370511645,1795.0068114003582,168
5,10.0,10.0,98.10000000000001,3.1196425374157926,0.2743323,0.3549751,0.9654,98.10000000000001,10.0,2.6961059691571476,2.970438269157148,93.40813593524797,2874.0964903153217,168
6,11.0,10.0,107.91000000000001,3.4316067911573715,0.3089111,0.4472267,0.9657,107.91000000000001,10.0,4.23031827505888,4.539229375058881,142.74020063277715,4392.00617331622,168
7,12.0,10.0,117.72,3.7435710448989505,0.3192298,0.560484,0.966,117.72,10.0,6.341322373517629,6.66055217351763,209.44712747869323,6444.526999344408,168
8,13.0,10.0,127.53,4.05553529864053,0.3192298,0.560484,0.966,127.53,10.0,9.157387932074855,9.476617732074855,298.00087297394,9169.257629967384,168
9,14.0,10.0,137.34,4.367499552382109,0.3192298,0.560484,0.966,137.34,10.0,12.819602959087248,13.138832759087249,413.1625589174576,12712.694120537153,168
10,15.0,10.0,147.15,4.679463806123689,0.3192298,0.560484,0.966,147.15,10.0,17.48187380372674,17.801103603726737,559.7719105895254,17223.75109506232,168
11,16.0,10.0,156.96,4.991428059865267,0.3192298,0.560484,0.966,156.96,10.0,23.310925155980502,23.6301549559805,743.0717376683608,22863.745774411098,168
12,17.0,10.0,166.77,5.303392313606847,0.3192298,0.560484,0.966,166.77,10.0,30.48630004665094,30.805529846650938,968.7079342301184,29806.397976311335,168
13,18.0,10.0,176.58,5.615356567348426,0.3192298,0.560484,0.966,176.58,10.0,39.200359847355706,39.51958964735571,1242.7294787488909,38237.83011535049,168
14,19.0,10.0,186.39000000000001,5.927320821090006,0.3192298,0.560484,0.966,186.39000000000001,10.0,49.658284270527695,49.9775140705277,1571.5884340967084,48356.56720297564,168
15,20.0,10.0,196.20000000000002,6.239285074831585,0.3192298,0.560484,0.966,196.20000000000002,10.0,62.07807136941502,62.39730116941502,1962.1399475435385,60373.53684749349,168
16,5.0,10.75,49.050000000000004,1.3497642130517222,0.0576568,0.0590855,0.9626,49.050000000000004,10.75,0.04730687117571268,0.10496367117571268,3.814346254986552,126.16683766493978,168
17,6.0,10.75,58.86,1.6197170556620664,0.0825237,0.085876,0.9634,58.86,10.75,0.11165710097662455,0.19418080097662455,7.05646823038007,233.40625685103308,168
18,7.0,10.75,68.67,1.889669898272411,0.1114092,0.1182897,0.964,68.67,10.75,0.2469965764751836,0.3584057764751836,13.024351339380273,430.8054673795013,168
19,8.0,10.75,78.48,2.1596227408827553,0.1439046,0.1567978,0.9644,78.48,10.75,0.4904970627881827,0.6344016627881828,23.053953615651213,762.5538503638477,168
20,9.0,10.75,88.29,2.4295755834931,0.1793687,0.2020291,0.9648,88.29,10.75,0.8869522173446586,1.0663209173446586,38.74976124718999,1281.722872022438,168
21,10.0,10.75,98.10000000000001,2.6995284261034445,0.2167693,0.254831,0.965,98.10000000000001,10.75,1.488777589885892,1.7055468898858919,61.97902873699713,2050.0755659160586,168
22,11.0,10.75,107.91000000000001,2.969481268713789,0.254375,0.3163724,0.9653,107.91000000000001,10.75,2.3560106224654067,2.6103856224654067,94.86057901360422,3137.6960750653707,168
23,12.0,10.75,117.72,3.2394341113241327,0.2890936,0.3883244,0.9655,117.72,10.75,3.556310649448969,3.8454042494489693,139.74076109857882,4622.194405568376,168
24,13.0,10.75,127.53,3.5093869539344773,0.3148216,0.4732107,0.9658,127.53,10.75,5.164958897514595,5.479780497514595,199.13347146416845,6586.722517660956,168
25,14.0,10.75,137.34,3.779339796544822,0.3171731,0.5752078,0.966,137.34,10.75,7.264858485652536,7.582031585652536,275.52860394440313,9113.638438161026,168
26,15.0,10.75,147.15,4.0492926391551665,0.3171731,0.5752078,0.966,147.15,10.75,9.946534425165293,10.263707525165293,372.97985028890844,12337.025817248512,168
27,16.0,10.75,156.96,4.319245481765511,0.3171731,0.5752078,0.966,156.96,10.75,13.30813361966761,13.62530671966761,495.1392903569941,16377.684219500574,168
28,17.0,10.75,166.77,4.589198324375856,0.3171731,0.5752078,0.966,166.77,10.75,17.45542486508647,17.772597965086472,645.8505283797199,21362.74824640612,168
29,18.0,10.75,176.58,4.8591511669862,0.3171731,0.5752078,0.966,176.58,10.75,22.501798849661114,22.818971949661115,829.2341457181515,27428.51405067732,168
30,19.0,10.75,186.39000000000001,5.129104009596544,0.3171731,0.5752078,0.966,186.39000000000001,10.75,28.56826815394301,28.88544125394301,1049.68770086336,34720.439336249605,168
31,20.0,10.75,196.20000000000002,5.399056852206889,0.3171731,0.5752078,0.966,196.20000000000002,10.75,35.78346725079587,36.10064035079587,1311.8857294364227,43393.143358281675,168
32,5.0,11.5,49.050000000000004,1.1794489744483148,0.0441584,0.0449124,0.962,49.050000000000004,11.5,0.029115430196520582,0.07327383019652059,3.0472546494183526,107.8259337486494,168
33,6.0,11.5,58.86,1.4153387693379778,0.0633117,0.0650969,0.9628,58.86,11.5,0.057817298691177375,0.12112899869117738,5.037417908291726,178.24709521647645,168
34,7.0,11.5,68.67,1.6512285642276407,0.0856946,0.0893619,0.9635,68.67,11.5,0.12272806247168504,0.20842266247168503,8.667718414031436,306.7038823426508,168
35,8.0,11.5,78.48,1.8871183591173037,0.1111185,0.1179556,0.964,78.48,11.5,0.24422920369345352,0.35534770369345353,14.777921931143021,522.9110837173685,168
36,9.0,11.5,88.29,2.1230081540069667,0.1393057,0.1511966,0.9643,88.29,11.5,0.44708816172787336,0.5863938617278733,24.386488555985096,862.9065181348572,168
37,10.0,11.5,98.10000000000001,2.3588979488966295,0.1698455,0.1894944,0.9647,98.10000000000001,11.5,0.760458333162316,0.930303833162316,38.688747037959494,1368.9864336508745,168
38,11.0,11.5,107.91000000000001,2.5947877437862927,0.2021178,0.2333793,0.9649,107.91000000000001,11.5,1.217879071800133,1.419996871800133,59.05371751616096,2089.59308134108,168
39,12.0,11.5,117.72,2.8306775386759555,0.2351611,0.2835489,0.9652,117.72,11.5,1.8572756886606563,2.092436788660656,87.01862200678251,3079.1204710092265,168
40,13.0,11.5,127.53,3.0665673335656183,0.2674211,0.3409422,0.9654,127.53,11.5,2.7209594519792013,2.9883805519792013,124.27842937685575,4397.544424104127,168
41,14.0,11.5,137.34,3.3024571284552815,0.2962327,0.4068666,0.9656,137.34,11.5,3.8556275872070604,4.151860287207061,172.66431316603814,6109.660312029042,168
42,15.0,11.5,147.15,3.5383469233449443,0.3165912,0.4832359,0.9658,147.15,11.5,5.312363277011509,5.62895447701151,234.09254921482292,8283.274818370659,168
43,16.0,11.5,156.96,3.7742367182346075,0.3175285,0.5730815,0.966,156.96,11.5,7.1466356612758,7.4641641612758,310.41381190892866,10983.873344469783,168
44,17.0,11.5,166.77,4.010126513124271,0.3175285,0.5730815,0.966,166.77,11.5,9.418299837099173,9.735828337099173,404.8860020910053,14326.735458604802,168
45,18.0,11.5,176.58,4.2460163080139335,0.3175285,0.5730815,0.966,176.58,11.5,12.19159685879684,12.50912535879684,520.2197061013026,18407.774215892245,168
46,19.0,11.5,186.39000000000001,4.481906102903596,0.3175285,0.5730815,0.966,186.39000000000001,11.5,15.535153737900007,15.852682237900007,659.2689303347813,23327.977534923026,168
47,20.0,11.5,196.20000000000002,4.717795897793259,0.3175285,0.5730815,0.966,196.20000000000002,11.5,19.52198344315584,19.83951194315584,825.0700809392564,29194.787479389073,168
48,5.0,12.25,49.050000000000004,1.0394477425791895,0.0343723,0.0347821,0.9613,49.050000000000004,12.25,0.0220735744485596,0.0564458744485596,2.663597243312999,100.39712686333611,168
49,6.0,12.25,58.86,1.2473372910950273,0.0493312,0.0503154,0.9623,58.86,12.25,0.034269365659817703,0.0836005656598177,3.944986917225093,148.69566072617656,168
