,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.5947939886279523,0.0113319,0.0113529,0.9567,49.050000000000004,10.0,0.010857476789692195,0.022189376789692197,1.8298586608870337,56.30334341190873,168
1,6.0,10.0,58.86,0.7137527863535427,0.0162839,0.0163436,0.9585,58.86,10.0,0.011003140006808387,0.027287040006808386,2.250240146880752,69.23815836556159,168
2,7.0,10.0,68.67,0.8327115840791331,0.0221249,0.02226,0.9598,68.67,10.0,0.011606604950291454,0.03373150495029145,2.7816863476182774,85.59034915748546,168
3,8.0,10.0,78.48,0.9516703818047236,0.028849,0.0291144,0.9607,78.48,10.0,0.013214095614571793,0.04206309561457179,3.468755366297572,106.7309343476176,168
4,9.0,10.0,88.29,1.070629179530314,0.0364484,0.0369216,0.9614,88.29,10.0,0.016602284907444025,0.05305068490744402,4.374852712806725,134.6108527017454,168
5,10.0,10.0,98.10000000000001,1.1895879772559046,0.0449133,0.0456988,0.962,98.10000000000001,10.0,0.022778294650067005,0.06769159465006701,5.582223057171213,171.76070945142192,168
6,11.0,10.0,107.91000000000001,1.308546774981495,0.0542316,0.0554661,0.9625,107.91000000000001,10.0,0.03297969557696382,0.08721129557696382,7.191925489895654,221.29001507371237,168
7,12.0,10.0,117.72,1.4275055727070853,0.0643885,0.0662468,0.9629,117.72,10.0,0.048674507336021765,0.11306300733602176,9.323800535752836,286.8861703308565,168
8,13.0,10.0,127.53,1.5464643704326757,0.0753656,0.0780671,0.9632,127.53,10.0,0.0715611984884924,0.1469267984884924,12.116395934809002,372.8121826095077,168
9,14.0,10.0,137.34,1.6654231681582663,0.0871408,0.0909573,0.9635,137.34,10.0,0.10356868650899154,0.19070948650899155,15.726958395871105,483.90641218064945,168
10,15.0,10.0,147.15,1.7843819658838567,0.0996872,0.1049516,0.9638,147.15,10.0,0.1468563377854991,0.24654353778549912,20.33134288440659,625.5797810586644,168
11,16.0,10.0,156.96,1.9033407636094473,0.1129723,0.1200887,0.964,156.96,10.0,0.2038139676193595,0.31678626761935946,26.12394665012147,803.8137430806607,168
12,17.0,10.0,166.77,2.022299561335038,0.1269563,0.1364126,0.9642,166.77,10.0,0.27706184022528096,0.40401814022528093,33.3175690355636,1025.1559703250339,168
13,18.0,10.0,176.58,2.141258359060628,0.141591,0.1539732,0.9644,176.58,10.0,0.3694506687313364,0.5110416687313364,42.14332076404252,1296.717561970539,168
14,19.0,10.0,186.39000000000001,2.2602171567862186,0.1568173,0.1728271,0.9645,186.39000000000001,10.0,0.4840616151789627,0.6408789151789627,52.850417775810776,1626.1667007941776,168
15,20.0,10.0,196.20000000000002,2.379175954511809,0.1725626,0.1930388,0.9647,196.20000000000002,10.0,0.6242062905229608,0.7967688905229608,65.70596681769256,2021.7220559290017,168
16,5.0,10.75,49.050000000000004,0.5146946359138581,0.0085006,0.0085089,0.955,49.050000000000004,10.75,0.010523451778450465,0.019024051778450464,1.8129773940157567,59.96771380205965,168
17,6.0,10.75,58.86,0.6176335630966298,0.0122135,0.0122398,0.9571,58.86,10.75,0.010558304604117425,0.022771804604117426,2.1701353344177834,71.78139952304974,168
18,7.0,10.75,68.67,0.7205724902794014,0.0165948,0.0166577,0.9586,68.67,10.75,0.010690738866203843,0.027285538866203843,2.600290712202589,86.00961586516256,168
19,8.0,10.75,78.48,0.823511417462173,0.0216416,0.0217691,0.9597,78.48,10.75,0.011146980550624665,0.03278858055062467,3.1247263207874383,103.35633214912296,168
