,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,1.6456224386368217,0.0484988,0.0500112,0.9769,49.050000000000004,10.0,0.06640425398993828,0.11490305398993828,3.424840756835536,105.37971559493957,168
1,6.0,10.0,58.86,1.9747469263641857,0.069052,0.0725475,0.9771,58.86,10.0,0.15061691093977037,0.21966891093977037,6.5475286606575365,201.4624203279242,168
2,7.0,10.0,68.67,2.30387141409155,0.0925689,0.0996558,0.9773,68.67,10.0,0.3332336529832019,0.4258025529832019,12.69162034587168,390.5113952575901,168
3,8.0,10.0,78.48,2.6329959018189144,0.1184851,0.1316187,0.9775,78.48,10.0,0.6689935512431125,0.7874786512431126,23.471865074634625,722.2112330656806,168
4,9.0,10.0,88.29,2.962120389546279,0.1459685,0.1688004,0.9776,88.29,10.0,1.224336349191563,1.370304849191563,40.84378729578064,1256.7319167932505,168
5,10.0,10.0,98.10000000000001,3.2912448772736433,0.1737619,0.2116708,0.9777,98.10000000000001,10.0,2.077402462649796,2.251164362649796,67.0989951251761,2064.584465390034,168
6,11.0,10.0,107.91000000000001,3.6203693650010074,0.1998854,0.2608439,0.9778,107.91000000000001,10.0,3.318032979788236,3.517918379788236,104.85630997566541,3226.3479992512434,168
7,12.0,10.0,117.72,3.9494938527283714,0.2210131,0.317138,0.9778,117.72,10.0,5.047769661126484,5.268782761126484,157.0431882584999,4832.098100261535,168
8,13.0,10.0,127.53,4.278618340455735,0.2309226,0.3816849,0.9779,127.53,10.0,7.379854939533334,7.610777539533334,226.8495066361312,6979.984819573267,168
9,14.0,10.0,137.34,4.6077428281831,0.2309226,0.3816849,0.9779,137.34,10.0,10.439231920226751,10.67015452022675,318.03837072777475,9785.796022393068,168
10,15.0,10.0,147.15,4.936867315910464,0.2309226,0.3816849,0.9779,147.15,10.0,14.362544380773889,14.593466980773888,434.9779989630622,13383.938429632684,168
11,16.0,10.0,156.96,5.265991803637829,0.2309226,0.3816849,0.9779,156.96,10.0,19.298136771091077,19.529059371091076,582.0899980833452,17910.461479487545,168
12,17.0,10.0,166.77,5.595116291365193,0.2309226,0.3816849,0.9779,166.77,10.0,25.406054213443817,25.636976813443816,764.1447291768122,23512.145513132684,168
13,18.0,10.0,176.58,5.924240779092558,0.2309226,0.3816849,0.9779,176.58,10.0,32.85804250244683,33.08896510244683,986.2613076784899,30346.50177472276,168
14,19.0,10.0,186.39000000000001,6.253365266819922,0.2309226,0.3816849,0.9779,186.39000000000001,10.0,41.83754810506396,42.06847070506396,1253.9076033702404,38581.77241139201,168
15,20.0,10.0,196.20000000000002,6.582489754547287,0.2309226,0.3816849,0.9779,196.20000000000002,10.0,52.53971816060829,52.77064076060829,1572.9002403807647,48396.930473254295,168
16,5.0,10.75,49.050000000000004,1.4240107635580934,0.0365287,0.0373008,0.9766,49.050000000000004,10.75,0.04478907522697481,0.08131777522697481,2.8009878695838912,92.648060301621,168
17,6.0,10.75,58.86,1.7088129162697119,0.052195,0.0539945,0.9769,58.86,10.75,0.08600331216761152,0.13819831216761153,4.760235937321135,157.45395792677598,168
18,7.0,10.75,68.67,1.9936150689813308,0.0703245,0.0739757,0.9771,68.67,10.75,0.1800212031561235,0.2503457031561235,8.623148823064994,285.2272303013806,168
19,8.0,10.75,78.48,2.2784172216929495,0.090656,0.0973901,0.9773,78.48,10.75,0.35799846722330264,0.44865446722330266,15.453887133771813,511.1670359632215,168
20,9.0,10.75,88.29,2.5632193744045684,0.1128266,0.1244202,0.9774,88.29,10.75,0.6580048998888199,0.7708314998888199,26.551263541768986,878.234101766205,168
21,10.0,10.75,98.10000000000001,2.848021527116187,0.1363303,0.1552927,0.9775,98.10000000000001,10.75,1.125024373161225,1.261354673161225,43.44731676323041,1437.1035544760825,168
22,11.0,10.75,107.91000000000001,3.1328236798278057,0.1604483,0.1902906,0.9776,107.91000000000001,10.75,1.8109548355379468,1.9714031355379467,67.90491074416057,2246.0855092299266,168
