,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
0,5.0,10.0,49.050000000000004,0.6275118526004348,0.0071838,0.0071932,0.9743,49.050000000000004,10.0,0.013426267767434647,0.020610067767434646,1.611003552846627,49.56934008758852,168
1,6.0,10.0,58.86,0.7530142231205218,0.0103297,0.01036,0.975,58.86,10.0,0.013486158014236145,0.023815858014236146,1.861586885980476,57.279596491706954,168
2,7.0,10.0,68.67,0.8785165936406087,0.0140382,0.0141095,0.9755,68.67,10.0,0.014130430708443813,0.028168630708443814,2.201825081906368,67.74846405865746,168
3,8.0,10.0,78.48,1.0040189641606958,0.0183037,0.018446,0.9759,78.48,10.0,0.01598656112819559,0.03429026112819559,2.6803275529664923,82.47161701435361,168
4,9.0,10.0,88.29,1.1295213346807826,0.0231194,0.0233748,0.9762,88.29,10.0,0.019920901992668435,0.04304030199266844,3.3642819717138264,103.5163683604254,168
5,10.0,10.0,98.10000000000001,1.2550237052008697,0.0284769,0.0289017,0.9764,98.10000000000001,10.0,0.02703868346207834,0.05551558346207834,4.339423004570441,133.52070783293664,168
6,11.0,10.0,107.91000000000001,1.3805260757209568,0.0343662,0.0350337,0.9766,107.91000000000001,10.0,0.03868401313768033,0.07305021313768033,5.710032311827503,175.6933019023847,168
7,12.0,10.0,117.72,1.5060284462410436,0.0407756,0.0417785,0.9767,117.72,10.0,0.056439876061768396,0.09721547606176839,7.598930731059845,233.81325326337983,168
8,13.0,10.0,127.53,1.6315308167611304,0.0476913,0.0491449,0.9768,127.53,10.0,0.08212813471767567,0.12981943471767568,10.147447010784287,312.22913879336267,168
9,14.0,10.0,137.34,1.7570331872812175,0.0550974,0.0571427,0.977,137.34,10.0,0.11780952902977423,0.17290692902977423,13.515417810459617,415.85900955260354,168
10,15.0,10.0,147.15,1.8825355578013045,0.0629754,0.0657829,0.9771,147.15,10.0,0.16578367636347527,0.22875907636347526,17.881148617559493,550.1891882325997,168
11,16.0,10.0,156.96,2.0080379283213916,0.0713038,0.0750775,0.9771,156.96,10.0,0.2285890715252288,0.2998928715252288,23.441382481230733,721.2733071147916,168
12,17.0,10.0,166.77,2.1335402988414782,0.0800581,0.0850399,0.9772,166.77,10.0,0.3090030867625242,0.3890611867625242,30.411300012293328,935.7323080705639,168
13,18.0,10.0,176.58,2.2590426693615653,0.0892098,0.0956849,0.9773,176.58,10.0,0.4100419717638894,0.4992517717638894,39.02444121738619,1200.7520374580367,168
14,19.0,10.0,186.39000000000001,2.3845450398816523,0.098726,0.1070288,0.9773,186.39000000000001,10.0,0.5349608536588919,0.6336868536588919,49.532674232625496,1524.0822840807846,168
15,20.0,10.0,196.20000000000002,2.5100474104017394,0.1085686,0.1190895,0.9774,196.20000000000002,10.0,0.687253737018138,0.795822337018138,62.20613279092128,1914.03485510527,168
16,5.0,10.75,49.050000000000004,0.5430064706115174,0.0053846,0.0053873,0.9737,49.050000000000004,10.75,0.012595171365867162,0.01797977136586716,1.6241202144471805,53.7208994009452,168
17,6.0,10.75,58.86,0.6516077647338209,0.0077439,0.0077561,0.9745,58.86,10.75,0.01255501104319228,0.02029891104319228,1.8336090646347132,60.65014598407128,168
18,7.0,10.75,68.67,0.7602090588561244,0.0105271,0.0105591,0.9751,68.67,10.75,0.012710729528519902,0.023237829528519903,2.0990827919421946,69.43120004116489,168
19,8.0,10.75,78.48,0.8688103529784279,0.0137314,0.0137986,0.9755,78.48,10.75,0.013324412816706075,0.027055812816706076,2.443962807966003,80.83876980195238,168
20,9.0,10.75,88.29,0.9774116471007314,0.0173532,0.0174774,0.9758,88.29,10.75,0.014791620975222882,0.03214482097522288,2.9036550283812392,96.04397401568713,168
21,10.0,10.75,98.10000000000001,1.0860129412230348,0.0213881,0.0215987,0.9761,98.10000000000001,10.75,0.01764138814415845,0.03902948814415845,3.525549872941729,116.61434195114948,168
22,11.0,10.75,107.91000000000001,1.1946142353453384,0.0258311,0.0261663,0.9763,107.91000000000001,10.75,0.022536222536216958,0.04836732253621696,4.36904033156308,144.51441096708646,168
23,12.0,10.75,117.72,1.3032155294676417,0.030676,0.0311844,0.9765,117.72,10.75,0.030272106436718606,0.06094810643671861,5.505467766073503,182.10393380089275,168
24,13.0,10.75,127.53,1.4118168235899453,0.035916,0.0366576,0.9766,127.53,10.75,0.04177849620359968,0.07769449620359967,7.018176108462993,232.13967127992973,168
25,14.0,10.75,137.34,1.5204181177122489,0.0415431,0.0425914,0.9767,137.34,10.75,0.05811832226741246,0.09966142226741245,9.002457662634152,297.7735996102066,168
26,15.0,10.75,147.15,1.6290194118345522,0.0475481,0.0489913,0.9768,147.15,10.75,0.08048798913132532,0.12803608913132533,11.565553104402182,382.5529103763798,168
27,16.0,10.75,156.96,1.7376207059568558,0.0539205,0.0558639,0.9769,156.96,10.75,0.11021737537112264,0.16413787537112265,14.82664244845336,490.4197117565341,168
28,17.0,10.75,166.77,1.8462220000791594,0.0606486,0.0632162,0.977,166.77,10.75,0.1487698336352049,0.2094184336352049,18.91685408138657,625.7113273074019,168
29,18.0,10.75,176.58,1.9548232942014627,0.0677189,0.0710557,0.9771,176.58,10.75,0.1977421906445885,0.2654610906445885,23.979210563464118,793.1585032530439,168
30,19.0,10.75,186.39000000000001,2.0634245883237665,0.0751164,0.0793909,0.9772,186.39000000000001,10.75,0.25886474719290603,0.33398114719290606,30.168655727736326,997.886304840509,168
31,20.0,10.75,196.20000000000002,2.1720258824460696,0.0828237,0.088231,0.9772,196.20000000000002,10.75,0.33400127814640607,0.41682497814640607,37.65197338266776,1245.4114272728566,168
32,5.0,11.5,49.050000000000004,0.4744891134974933,0.0041152,0.0041152,0.973,49.050000000000004,11.5,0.012104737459556878,0.01621993745955688,1.6767253657874872,59.33028217401878,168
33,6.0,11.5,58.86,0.5693869361969919,0.0059186,0.0059229,0.9739,58.86,11.5,0.01205010171028023,0.01796870171028023,1.8575027199099303,65.72701931988985,168
34,7.0,11.5,68.67,0.6642847588964905,0.008047,0.0080609,0.9746,68.67,11.5,0.012050779473444717,0.020097779473444717,2.0775947332196725,73.51489056008072,168
35,8.0,11.5,78.48,0.7591825815959892,0.0104988,0.0105306,0.9751,78.48,11.5,0.012206048502610532,0.022704848502610533,2.347098779240865,83.05118757313831,168
36,9.0,11.5,88.29,0.8540804042954879,0.0132722,0.0133335,0.9754,88.29,11.5,0.012695195699203491,0.02596739569920349,2.6843624496616827,94.98513283418261,168
37,10.0,11.5,98.10000000000001,0.9489782269949866,0.0163648,0.0164716,0.9757,98.10000000000001,11.5,0.013777517112515035,0.030142317112515034,3.1159422045974368,110.25641647037082,168
38,11.0,11.5,107.91000000000001,1.0438760496944852,0.0197738,0.0199469,0.976,107.91000000000001,11.5,0.015792317939702226,0.03556611793970223,3.6766240474590166,130.0959278331652,168
39,12.0,11.5,117.72,1.1387738723939838,0.023496,0.0237617,0.9762,117.72,11.5,0.019158912525787754,0.04265491252578775,4.409423524952891,156.02575549833307,168
40,13.0,11.5,127.53,1.2336716950934825,0.0275276,0.0279189,0.9763,127.53,11.5,0.02437662436365993,0.051904224363659934,5.365565052212668,189.85845569367902,168
41,14.0,11.5,137.34,1.328569517792981,0.0318643,0.0324212,0.9765,137.34,11.5,0.032024786094072694,0.06388908609407269,6.604492250233306,233.6974180851785,168
42,15.0,11.5,147.15,1.4234673404924798,0.0365013,0.0372721,0.9766,147.15,11.5,0.04276273950564562,0.07926403950564562,8.193867945871128,289.9368657769783,168
43,16.0,11.5,156.96,1.5183651631919783,0.0414332,0.0424749,0.9767,156.96,11.5,0.05732983553486387,0.09876303553486387,10.209563834409588,361.26148952526233,168
44,17.0,11.5,166.77,1.613262985891477,0.0466538,0.0480336,0.9768,166.77,11.5,0.07654543426607828,0.12319923426607829,12.73563980469083,450.64571616598323,168
45,18.0,11.5,176.58,1.7081608085909759,0.0521562,0.0539525,0.9769,176.58,11.5,0.10130890493150525,0.15346510493150525,15.86435427654991,561.3540744009968,168
46,19.0,11.5,186.39000000000001,1.8030586312904744,0.0579328,0.0602361,0.977,186.39000000000001,11.5,0.13259962591122687,0.19053242591122688,19.696164200814803,696.9411947980622,168
47,20.0,11.5,196.20000000000002,1.8979564539899731,0.0639749,0.0668894,0.9771,196.20000000000002,11.5,0.1714769847331908,0.2354518847331908,24.3396837095695,861.2503466463053,168
48,5.0,12.25,49.050000000000004,0.41816699881744934,0.0031991,0.0031981,0.9722,49.050000000000004,12.25,0.011657917538147678,0.014857017538147678,1.7426930205084725,65.68612154224242,168
49,6.0,12.25,58.86,0.5018003985809392,0.0046008,0.0046017,0.9733,58.86,12.25,0.01161903663285179,0.01621983663285179,1.9025484772620516,71.7114426044927,168
50,7.0,12.25,68.67,0.585433798344429,0.0062557,0.0062612,0.974,68.67,12.25,0.01159737140246462,0.01785307140246462,2.0941230531517223,78.93233046494953,168
51,8.0,12.25,78.48,0.6690671981079189,0.0081628,0.0081774,0.9746,78.48,12.25,0.011615836083013554,0.019778636083013553,2.3199872362365213,87.4456727504535,168
52,9.0,12.25,88.29,0.7527005978714087,0.0103211,0.0103513,0.975,88.29,12.25,0.011747197870577679,0.02206829787057768,2.5885591488877355,97.56876791961464,168
53,10.0,12.25,98.10000000000001,0.8363339976348987,0.0127293,0.012784,0.9754,98.10000000000001,12.25,0.012114076921287796,0.024843376921287796,2.9140693584984017,109.83799889724745,168
54,11.0,12.25,107.91000000000001,0.9199673973983885,0.0153857,0.0154766,0.9756,107.91000000000001,12.25,0.0128889463513264,0.0282746463513264,3.316549147719804,125.00839095251565,168
55,12.0,12.25,117.72,1.0036007971618783,0.0182886,0.0184306,0.9759,117.72,12.25,0.014294132236927692,0.03258273223692769,3.8218774335154784,144.05538018635264,168
56,13.0,12.25,127.53,1.0872341969253683,0.0214358,0.0216476,0.9761,127.53,12.25,0.01660181361437759,0.03803761361437759,4.461722118343708,168.17260292218592,168
57,14.0,12.25,137.34,1.170867596688858,0.024825,0.0251292,0.9762,137.34,12.25,0.020134022480013697,0.0449590224800137,5.273587009211525,198.77366419335746,168
58,15.0,12.25,147.15,1.254500996452348,0.0284534,0.0288774,0.9764,147.15,12.25,0.02526264379022534,0.05371604379022534,6.300764898620711,237.4903692557037,168
59,16.0,12.25,156.96,1.3381343962158379,0.0323181,0.0328943,0.9765,156.96,12.25,0.03240941546145353,0.06472751546145353,7.592384483621795,286.1744920749753,168
60,17.0,12.25,166.77,1.4217677959793278,0.0364157,0.0371821,0.9766,166.77,12.25,0.04204592837019101,0.07846162837019102,9.20336344676006,346.8960068394176,168
61,18.0,12.25,176.58,1.5054011957428175,0.0407423,0.0417432,0.9767,176.58,12.25,0.054693626352982194,0.0954359263529822,11.194408456075521,421.94308795976957,168
62,19.0,12.25,186.39000000000001,1.5890345955063074,0.0452938,0.0465804,0.9768,186.39000000000001,12.25,0.07092380620642322,0.11621760620642321,13.632050354393458,513.8234364348303,168
63,20.0,12.25,196.20000000000002,1.6726679952697974,0.0500657,0.0516964,0.9769,196.20000000000002,12.25,0.09135761768716195,0.14142331768716196,16.5886206997974,625.2633956077482,168
64,5.0,13.0,49.050000000000004,0.3713087885209673,0.0025246,0.0025233,0.9714,49.050000000000004,13.0,0.011241981754560195,0.013766581754560196,1.8185694923917672,72.74277969567068,168
65,6.0,13.0,58.86,0.4455705462251608,0.0036305,0.0036299,0.9726,58.86,13.0,0.011218126333878925,0.014848626333878925,1.961507899066692,78.46031596266768,168
66,7.0,13.0,68.67,0.5198323039293542,0.0049363,0.0049378,0.9735,68.67,13.0,0.011211310379580055,0.016147610379580055,2.1331040729559145,85.32416291823658,168
67,8.0,13.0,78.48,0.5940940616335477,0.0064415,0.0064477,0.9741,78.48,13.0,0.011209347226403996,0.017650847226403997,2.3316821018531506,93.26728407412602,168
68,9.0,13.0,88.29,0.6683558193377412,0.0081455,0.00816,0.9746,88.29,13.0,0.011232153639538101,0.0193776536395381,2.5597937361120984,102.39174944448393,168
69,10.0,13.0,98.10000000000001,0.7426175770419347,0.0100476,0.0100755,0.975,98.10000000000001,13.0,0.01133174981461667,0.02137934981461667,2.824218388646439,112.96873554585757,168
70,11.0,13.0,107.91000000000001,0.8168793347461282,0.0121469,0.0121949,0.9753,107.91000000000001,13.0,0.011592259377720952,0.023739159377720954,3.1359499249004723,125.43799699601888,168
71,12.0,13.0,117.72,0.8911410924503216,0.0144421,0.0145191,0.9756,117.72,13.0,0.012129909385379141,0.02657200938537914,3.510170242790383,140.40680971161532,168
72,13.0,13.0,127.53,0.965402850154515,0.0169323,0.0170489,0.9758,127.53,13.0,0.013093030324566374,0.030025330324566377,3.966354952939168,158.65419811756672,168
73,14.0,13.0,137.34,1.0396646078587084,0.0196159,0.0197855,0.976,137.34,13.0,0.014662056112704745,0.03427795611270475,4.528128068353613,181.1251227341445,168
74,15.0,13.0,147.15,1.113926365562902,0.0224913,0.0227299,0.9761,147.15,13.0,0.017049524097663284,0.03954082409766328,5.2233544746298515,208.934178985194,168
75,16.0,13.0,156.96,1.1881881232670954,0.0255569,0.0258835,0.9763,156.96,13.0,0.020500075057757975,0.04605697505775798,6.084139929953371,243.36559719813482,168
76,17.0,13.0,166.77,1.262449880971289,0.0288107,0.0292476,0.9764,166.77,13.0,0.025290453201751745,0.054101153201751746,7.146778224981536,285.87112899926143,168
77,18.0,13.0,176.58,1.3367116386754825,0.0322504,0.0328237,0.9765,176.58,13.0,0.03172950616885446,0.06397990616885446,8.45176439287297,338.0705757149188,168
78,19.0,13.0,186.39000000000001,1.410973396379676,0.0358738,0.0366134,0.9766,186.39000000000001,13.0,0.04015818502872296,0.07603198502872296,10.043847549405012,401.75390197620044,168
79,20.0,13.0,196.20000000000002,1.4852351540838693,0.0396783,0.0406183,0.9767,196.20000000000002,13.0,0.05094954428146101,0.090627844281461,11.971964842826882,478.8785937130753,168
80,5.0,13.75,49.050000000000004,0.33190709559031273,0.0020191,0.0020179,0.9705,49.050000000000004,13.75,0.010850251078764776,0.012869351078764775,1.9018625356312997,80.46341496901653,168
81,6.0,13.75,58.86,0.39828851470837523,0.0029032,0.0029021,0.9719,58.86,13.75,0.010833632956396897,0.013736832956396897,2.0300610184693313,85.88719693524094,168
82,7.0,13.75,68.67,0.46466993382643773,0.0039472,0.003947,0.9729,68.67,13.75,0.010845857740142269,0.014793057740142269,2.1861523655089834,92.49106161768775,168
83,8.0,13.75,78.48,0.5310513529445003,0.0051509,0.005153,0.9736,78.48,13.75,0.010859773345813869,0.016010673345813867,2.3660944223425977,100.10399479141759,168
84,9.0,13.75,88.29,0.5974327720625628,0.0065139,0.0065203,0.9741,88.29,13.75,0.010869494245438401,0.017383394245438402,2.5689582990754234,108.6866972685756,168
85,10.0,13.75,98.10000000000001,0.6638141911806255,0.0080356,0.0080495,0.9746,98.10000000000001,13.75,0.010890401467256294,0.018926001467256294,2.7969283703256145,118.33158489839136,168
