,,mass,airspeed,lift,cl,CDind,CDff,e,wing_l,fs_v,Cd0,Cd,drag,power,solar_power
E387D,0,5.0,10.0,49.050000000000004,0.6230754223220756,0.0064882,0.0065368,0.9921,49.050000000000004,10.0,0.04256221895234836,0.04905041895234836,3.861367281422048,118.81130096683223,168
E387D,1,6.0,10.0,58.86,0.7476905067864906,0.0093266,0.0094227,0.9921,58.86,10.0,0.043787357275383895,0.0531139572753839,4.181258818793368,128.65411750133438,168
E387D,2,7.0,10.0,68.67,0.8723055912509058,0.012668,0.0128411,0.9921,68.67,10.0,0.04283078701618879,0.05549878701618879,4.368998367804199,134.43071900935993,168
E387D,3,8.0,10.0,78.48,0.9969206757153208,0.0165053,0.0167958,0.9921,78.48,10.0,0.040589285972571415,0.057094585972571416,4.494623510453635,138.296108013958,168
E387D,4,9.0,10.0,88.29,1.121535760179736,0.0208305,0.0212915,0.9921,88.29,10.0,0.03868499246633089,0.059515492466330894,4.685203108468209,144.16009564517563,168
E387D,5,10.0,10.0,98.10000000000001,1.2461508446441512,0.025634,0.0263334,0.9921,98.10000000000001,10.0,0.03946540534325702,0.06509940534325702,5.124782197613614,157.68560608041886,168
E387D,6,11.0,10.0,107.91000000000001,1.3707659291085663,0.0309047,0.0319275,0.9921,107.91000000000001,10.0,0.04600338397313036,0.07690808397313037,6.054389859935887,186.28891876725805,168
E387D,7,12.0,10.0,117.72,1.4953810135729813,0.03663,0.0380805,0.9921,117.72,10.0,0.062097148249722144,0.09872714824972215,7.772039223761402,239.13966842342774,168
E387D,8,13.0,10.0,127.53,1.6199960980373964,0.0427951,0.0447999,0.9921,127.53,10.0,0.0922702785907944,0.1350653785907944,10.632672358008598,327.15914947718767,168
E387D,9,14.0,10.0,137.34,1.7446111825018116,0.0493836,0.052094,0.9921,137.34,10.0,0.14177171593809978,0.19115531593809978,15.048207505635064,463.02176940415586,168
E387D,10,15.0,10.0,147.15,1.8692262669662265,0.0563764,0.0599721,0.9921,147.15,10.0,0.21657576175738175,0.27295216175738174,21.487452488984538,661.1523842764473,168
E387D,11,5.0,11.0,49.050000000000004,0.5149383655554344,0.0044371,0.0044614,0.9921,49.050000000000004,11.0,0.039579667041959976,0.044016767041959975,4.192778335868068,141.90942059861152,168
E387D,12,6.0,11.0,58.86,0.6179260386665212,0.0063818,0.006429,0.9921,58.86,11.0,0.04245959956996519,0.04884139956996519,4.652344453540029,157.46396611981635,168
E387D,13,7.0,11.0,68.67,0.720913711777608,0.0086741,0.0087578,0.9921,68.67,11.0,0.043725049527189516,0.05239914952718952,4.9912347889175885,168.93410054797994,168
E387D,14,8.0,11.0,78.48,0.8239013848886949,0.0113108,0.0114498,0.9921,78.48,11.0,0.04342032766001199,0.054731127660011994,5.2133653099005475,176.45236433509544,168
E387D,15,9.0,11.0,88.29,0.9268890579997818,0.0142882,0.0145071,0.9921,88.29,11.0,0.04192813075256608,0.05621633075256608,5.354837021007565,181.24063763410217,168
E387D,16,10.0,11.0,98.10000000000001,1.0298767311108687,0.017602,0.0179319,0.9921,98.10000000000001,11.0,0.03996954162673976,0.05757154162673976,5.483926437964327,185.6098179003311,168
E387D,17,11.0,11.0,107.91000000000001,1.1328644042219556,0.0212475,0.0217272,0.9921,107.91000000000001,11.0,0.03860402914217545,0.05985152914217545,5.701104638527209,192.96046468861317,168
E387D,18,12.0,11.0,117.72,1.2358520773330424,0.0252191,0.0258959,0.9921,117.72,11.0,0.039229448196270035,0.06444854819627004,6.138989635424115,207.78118766050846,168
E387D,19,13.0,11.0,127.53,1.3388397504441292,0.0295105,0.0304413,0.9921,127.53,11.0,0.04358203972417491,0.07309253972417491,6.96236542717815,235.6492913814143,168
E387D,20,14.0,11.0,137.34,1.441827423555216,0.0341147,0.0353673,0.9921,137.34,11.0,0.0537364306987959,0.0878511306987959,8.368181998107605,283.2307753205651,168
E387D,21,15.0,11.0,147.15,1.544815096666303,0.0390239,0.0406778,0.9921,147.15,11.0,0.0721056341307933,0.1111295341307933,10.58554579291414,358.2800114524785,168
E387D,22,5.0,12.0,49.050000000000004,0.4326912655014414,0.0031354,0.0031486,0.9921,49.050000000000004,12.0,0.03630581809738744,0.039441218097387445,4.471067252616889,165.0855600966236,168
E387D,23,6.0,12.0,58.86,0.5192295186017296,0.0045112,0.0045362,0.9921,58.86,12.0,0.039729213648809235,0.044240413648809235,5.015105370706552,185.1731213799342,168
E387D,24,7.0,12.0,68.67,0.6057677717020179,0.0061341,0.0061779,0.9921,68.67,12.0,0.04220103954493332,0.04833513954493332,5.479284616322078,202.3120473718921,168
E387D,25,8.0,12.0,78.48,0.6923060248023062,0.0080027,0.0080746,0.9921,78.48,12.0,0.04353915522557889,0.05154185522557889,5.842798781447145,215.73410885343307,168
E387D,26,9.0,12.0,88.29,0.7788442779025945,0.0101151,0.0102273,0.9921,88.29,12.0,0.04373011580545977,0.05384521580545977,6.1039083656959185,225.37507811800313,168
E387D,27,10.0,12.0,98.10000000000001,0.8653825310028828,0.0124692,0.0126371,0.9921,98.10000000000001,12.0,0.04292917207418448,0.05539837207418448,6.279974584394973,231.87598465458356,168
E387D,28,11.0,12.0,107.91000000000001,0.951920784103171,0.0150628,0.0153056,0.9921,107.91000000000001,12.0,0.04146027049625618,0.056523070496256184,6.407470704610584,236.58353370869847,168
E387D,29,12.0,12.0,117.72,1.0384590372034592,0.0178932,0.018234,0.9921,117.72,12.0,0.039816053211072726,0.05770925321107273,6.5419367010395275,241.54843203838254,168
E387D,30,13.0,12.0,127.53,1.1249972903037475,0.0209575,0.0214241,0.9921,127.53,12.0,0.038657858032926595,0.0596153580329266,6.758013264090974,249.5266435972052,168
E387D,31,14.0,12.0,137.34,1.2115355434040358,0.0242523,0.0248777,0.9921,137.34,12.0,0.038815718451004955,0.06306801845100496,7.14940779180459,263.97813385124635,168
E387D,32,15.0,12.0,147.15,1.298073796504324,0.027774,0.0285968,0.9921,147.15,12.0,0.04128836362938963,0.06906236362938964,7.828928397932446,289.0681254621211,168
E387D,33,5.0,13.0,49.050000000000004,0.368683681847382,0.0022775,0.0022852,0.9921,49.050000000000004,13.0,0.03336119331426929,0.03563869331426929,4.741402978037233,189.6561191214893,168
E387D,34,6.0,13.0,58.86,0.44242041821685835,0.0032777,0.0032919,0.9921,58.86,13.0,0.036728632954774444,0.040006332954774446,5.322477581863774,212.89910327455092,168
E387D,35,7.0,13.0,68.67,0.5161571545863348,0.0044581,0.0044826,0.9921,68.67,13.0,0.03962238132414616,0.04408048132414616,5.864505849880273,234.58023399521088,168
E387D,36,8.0,13.0,78.48,0.5898938909558111,0.005818,0.0058577,0.9921,78.48,13.0,0.04182941622926756,0.04764741622926756,6.339053994293753,253.56215977175006,168
E387D,37,9.0,13.0,88.29,0.6636306273252875,0.0073564,0.0074178,0.9921,88.29,13.0,0.043225637042106586,0.050582037042106585,6.729478517962636,269.1791407185054,168
E387D,38,10.0,13.0,98.10000000000001,0.737367363694764,0.0090723,0.0091635,0.9921,98.10000000000001,13.0,0.04377586469971597,0.05284816469971597,7.030966126659548,281.2386450663819,168
E387D,39,11.0,13.0,107.91000000000001,0.8111041000642404,0.0109645,0.0110955,0.9921,107.91000000000001,13.0,0.043533841704233245,0.05449834170423325,7.250507120896115,290.02028483584456,168
E387D,40,12.0,13.0,117.72,0.8848408364337167,0.0130316,0.0132146,0.9921,117.72,13.0,0.04264223212288074,0.05567383212288074,7.406895395922964,296.2758158369186,168
E387D,41,13.0,13.0,127.53,0.9585775728031931,0.0152722,0.0155216,0.9921,127.53,13.0,0.04133262158796561,0.056604821587965606,7.5307550499049265,301.2302019961971,168
E387D,42,14.0,13.0,137.34,1.0323143091726696,0.0176845,0.0180175,0.9921,137.34,13.0,0.03992551729687976,0.057610017296879756,7.6644871675706305,306.5794867028252,168
E387D,43,15.0,13.0,147.15,1.106051045542146,0.0202668,0.0207032,0.9921,147.15,13.0,0.03883034801209994,0.05909714801209994,7.8623363406505105,314.4934536260204,168
E387D,44,5.0,14.0,49.050000000000004,0.317895623633712,0.0016939,0.0016986,0.9921,49.050000000000004,14.0,0.03092007180844369,0.03261397180844369,5.032203019716304,216.77182238777922,168
E387D,45,6.0,14.0,58.86,0.38147474836045436,0.0024381,0.0024467,0.9921,58.86,14.0,0.03396725898398538,0.03640535898398538,5.61719861932417,241.97163283242577,168
E387D,46,7.0,14.0,68.67,0.44505387308719674,0.0033167,0.0033313,0.9921,68.67,14.0,0.03684166374654272,0.04015836374654272,6.19627196893261,266.9163309694047,168
E387D,47,8.0,14.0,78.48,0.5086329978139391,0.0043294,0.0043527,0.9921,78.48,14.0,0.039355687118149206,0.0436850871181492,6.7404310215171686,290.35702861920106,168
E387D,48,9.0,14.0,88.29,0.5722121225406815,0.0054756,0.0055111,0.9921,88.29,14.0,0.04137088081219503,0.04684648081219503,7.2282211927704205,311.36952830395654,168
E387D,49,10.0,14.0,98.10000000000001,0.635791247267424,0.0067547,0.006807,0.9921,98.10000000000001,14.0,0.04279794723342711,0.04955264723342711,7.645771649880133,329.3563172256058,168
E387D,50,11.0,14.0,107.91000000000001,0.6993703719941664,0.008166,0.0082407,0.9921,107.91000000000001,14.0,0.04359673947794907,0.05176273947794907,7.986779881936544,344.04590260649724,168
E387D,51,12.0,14.0,117.72,0.7629494967209087,0.0097089,0.0098126,0.9921,117.72,14.0,0.04377626133322126,0.05348516133322126,8.252542559117801,355.49414100815136,168
E387D,52,13.0,14.0,127.53,0.8265286214476512,0.0113825,0.0115233,0.9921,127.53,14.0,0.04339466727806072,0.054777167278060715,8.451893814319085,364.08157969374514,168
E387D,53,14.0,14.0,137.34,0.8901077461743935,0.013186,0.0133731,0.9921,137.34,14.0,0.04255926248264123,0.055745262482641236,8.60126696152349,370.5161152656272,168
E387D,54,15.0,14.0,147.15,0.9536868709011359,0.0151183,0.0153627,0.9921,147.15,14.0,0.041426502808493276,0.05654480280849328,8.724632777431136,375.83033502780273,168
E387D,55,5.0,15.0,49.050000000000004,0.27692240992092243,0.0012857,0.0012888,0.9921,49.050000000000004,15.0,0.028973315154691693,0.030259015154691694,5.359640968607254,247.36804470495017,168
E387D,56,6.0,15.0,58.86,0.3323068919051069,0.0018508,0.0018563,0.9921,58.86,15.0,0.03161442644323544,0.03346522644323544,5.927542510948948,273.5788851207206,168
E387D,57,7.0,15.0,68.67,0.3876913738892914,0.0025181,0.0025272,0.9921,68.67,15.0,0.03425933829826358,0.03677743829826358,6.514219448851963,300.656282254706,168
E387D,58,8.0,15.0,78.48,0.4430758558734759,0.0032874,0.0033017,0.9921,78.48,15.0,0.036756822876709054,0.04004422287670906,7.092850061009742,327.3623105081419,168
E387D,59,9.0,15.0,88.29,0.4984603378576604,0.0041584,0.00418,0.9921,88.29,15.0,0.038983954773264516,0.043142354773264516,7.641607994935853,352.6895997662701,168
E387D,60,10.0,15.0,98.10000000000001,0.5538448198418449,0.0051308,0.0051623,0.9921,98.10000000000001,15.0,0.04084611102038236,0.04597691102038236,8.143679979506668,375.86215290030776,168
E387D,61,11.0,15.0,107.91000000000001,0.6092293018260294,0.0062042,0.0062489,0.9921,107.91000000000001,15.0,0.042276971088274724,0.048481171088274724,8.587248112418688,396.33452826547796,168
E387D,62,12.0,15.0,117.72,0.6646137838102139,0.0073781,0.0074398,0.9921,117.72,15.0,0.04323851688491348,0.05061661688491348,8.965489860188546,413.79183970100974,168
E387D,63,13.0,15.0,127.53,0.7199982657943983,0.0086522,0.0087355,0.9921,127.53,15.0,0.043721032756030224,0.05237323275603022,9.276631195780999,428.1522090360461,168
