,mass,v
0,5.0,10.0
1,6.0,10.0
2,7.0,10.0
3,8.0,10.0
4,9.0,10.0
5,10.0,10.0
6,11.0,10.0
7,12.0,10.0
8,13.0,10.0
9,14.0,10.0
10,15.0,10.0
11,5.0,11.0
12,6.0,11.0
13,7.0,11.0
14,8.0,11.0
15,9.0,11.0
16,10.0,11.0
17,11.0,11.0
18,12.0,11.0
19,13.0,11.0
20,14.0,11.0
21,15.0,11.0
22,5.0,12.0
23,6.0,12.0
24,7.0,12.0
25,8.0,12.0
26,9.0,12.0
27,10.0,12.0
28,11.0,12.0
29,12.0,12.0
30,13.0,12.0
31,14.0,12.0
32,15.0,12.0
33,5.0,13.0
34,6.0,13.0
35,7.0,13.0
36,8.0,13.0
37,9.0,13.0
38,10.0,13.0
39,11.0,13.0
40,12.0,13.0
41,13.0,13.0
42,14.0,13.0
43,15.0,13.0
44,5.0,14.0
45,6.0,14.0
46,7.0,14.0
47,8.0,14.0
48,9.0,14.0
49,10.0,14.0
50,11.0,14.0
51,12.0,14.0
52,13.0,14.0
53,14.0,14.0
54,15.0,14.0
55,5.0,15.0
56,6.0,15.0
57,7.0,15.0
58,8.0,15.0
59,9.0,15.0
60,10.0,15.0
61,11.0,15.0
62,12.0,15.0
63,13.0,15.0
64,14.0,15.0
65,15.0,15.0
66,5.0,16.0
67,6.0,16.0
68,7.0,16.0
69,8.0,16.0
70,9.0,16.0
71,10.0,16.0
72,11.0,16.0
73,12.0,16.0
74,13.0,16.0
75,14.0,16.0
76,15.0,16.0
77,5.0,17.0
78,6.0,17.0
79,7.0,17.0
80,8.0,17.0
81,9.0,17.0
82,10.0,17.0
83,11.0,17.0
84,12.0,17.0
85,13.0,17.0
86,14.0,17.0
87,15.0,17.0
88,5.0,18.0
89,6.0,18.0
90,7.0,18.0
91,8.0,18.0
92,9.0,18.0
93,10.0,18.0
94,11.0,18.0
95,12.0,18.0
96,13.0,18.0
97,14.0,18.0
98,15.0,18.0
99,5.0,19.0
100,6.0,19.0
101,7.0,19.0
102,8.0,19.0
103,9.0,19.0
104,10.0,19.0
105,11.0,19.0
106,12.0,19.0
107,13.0,19.0
108,14.0,19.0
109,15.0,19.0
110,5.0,20.0
111,6.0,20.0
112,7.0,20.0
113,8.0,20.0
114,9.0,20.0
115,10.0,20.0
116,11.0,20.0
117,12.0,20.0
118,13.0,20.0
119,14.0,20.0
120,15.0,20.0
121,5.0,21.0
122,6.0,21.0
123,7.0,21.0
124,8.0,21.0
125,9.0,21.0
126,10.0,21.0
127,11.0,21.0
128,12.0,21.0
129,13.0,21.0
130,14.0,21.0
131,15.0,21.0
132,5.0,22.0
133,6.0,22.0
134,7.0,22.0
135,8.0,22.0
136,9.0,22.0
137,10.0,22.0
138,11.0,22.0
139,12.0,22.0
140,13.0,22.0
141,14.0,22.0
142,15.0,22.0
143,5.0,23.0
144,6.0,23.0
145,7.0,23.0
146,8.0,23.0
147,9.0,23.0
148,10.0,23.0
149,11.0,23.0
150,12.0,23.0
151,13.0,23.0
152,14.0,23.0
153,15.0,23.0
154,5.0,24.0
155,6.0,24.0
156,7.0,24.0
157,8.0,24.0
158,9.0,24.0
159,10.0,24.0
160,11.0,24.0
161,12.0,24.0
162,13.0,24.0
163,14.0,24.0
164,15.0,24.0
165,5.0,25.0
166,6.0,25.0
167,7.0,25.0
168,8.0,25.0
169,9.0,25.0
170,10.0,25.0
171,11.0,25.0
172,12.0,25.0
173,13.0,25.0
174,14.0,25.0
175,15.0,25.0
