,,mass,airspeed,drag,power,solar_power
R140A,0,5.0,10.0,2.1268082228285543,65.44025301010934,168
R140A,1,6.0,10.0,1.8286489665031485,56.266122046250715,168
R140A,2,7.0,10.0,1.8886136018049422,58.11118774784437,168
R140A,3,8.0,10.0,2.102170260048069,64.68216184763288,168
R140A,4,9.0,10.0,2.396419012003221,73.7359696000991,168
R140A,5,10.0,10.0,2.743921164575223,84.42834352539147,168
R140A,6,11.0,10.0,3.14806381557717,96.86350201775907,168
R140A,7,12.0,10.0,3.6012580981198274,110.80794148061005,168
R140A,8,13.0,10.0,4.090644648074394,125.8659891715198,168
R140A,9,14.0,10.0,4.613837986718254,141.96424574517704,168
R140A,10,15.0,10.0,5.1684924355993935,159.03053647998132,168
R140A,11,5.0,11.0,1.3075996305009274,44.257218263108314,168
R140A,12,6.0,11.0,1.4965042020381332,50.65091145359835,168
R140A,13,7.0,11.0,1.7178692473781254,58.143266834336536,168
R140A,14,8.0,11.0,1.9718418337181332,66.73926206430603,168
R140A,15,9.0,11.0,2.2579990545983932,76.42458338640715,168
R140A,16,10.0,11.0,5.0725016102706775,171.68466988608446,168
R140A,17,11.0,11.0,3.923065774887255,132.7806877654148,168
R140A,18,12.0,11.0,3.7103353002367334,125.58057939262791,168
R140A,19,13.0,11.0,3.8689390279462135,130.94870556125645,168
R140A,20,14.0,11.0,4.190394625765767,141.82874117976442,168
R140A,21,15.0,11.0,4.5945080404123955,155.50642598318873,168
R140A,22,5.0,12.0,1.3679627552665008,50.509394040609266,168
R140A,23,6.0,12.0,1.5222613054352594,56.20657127760957,168
R140A,24,7.0,12.0,1.7108659312874883,63.17043438599957,168
R140A,25,8.0,12.0,1.9297146806711514,71.25100359401175,168
R140A,26,9.0,12.0,2.1763070952224823,80.3559542851378,168
R140A,27,10.0,12.0,2.4502998135060126,90.47260849868354,168
R140A,28,11.0,12.0,2.7505807664337847,101.55990522217049,168
R140A,29,12.0,12.0,3.0767903858350114,113.60456809236963,168
R140A,30,13.0,12.0,3.429087484872139,126.61246097989437,168
R140A,31,14.0,12.0,3.8070069525761885,140.56641055665924,168
R140A,32,15.0,12.0,10.343996326529671,381.93217205648017,168
R140A,33,5.0,13.0,4.498108820167615,179.92435280670458,168
R140A,34,6.0,13.0,2.9265132947583408,117.06053179033361,168
R140A,35,7.0,13.0,2.3574880000059966,94.29952000023985,168
R140A,36,8.0,13.0,2.206102476026731,88.24409904106923,168
R140A,37,9.0,13.0,2.2439984519843943,89.75993807937577,168
R140A,38,10.0,13.0,2.4007920590771237,96.03168236308495,168
R140A,39,11.0,13.0,2.6334643339933894,105.33857335973556,168
R140A,40,12.0,13.0,2.906854867534775,116.274194701391,168
R140A,41,13.0,13.0,3.2110403346810488,128.44161338724192,168
R140A,42,14.0,13.0,3.540586809645988,141.6234723858395,168
R140A,43,15.0,13.0,3.8937769436799523,155.75107774719808,168
R140A,44,5.0,14.0,1.6592654149125432,71.47604864238646,168
R140A,45,6.0,14.0,1.7832735154643369,76.81793605077144,168
R140A,46,7.0,14.0,1.9273228098164428,83.02313642286214,168
R140A,47,8.0,14.0,2.0911700244179516,90.08117028261945,168
R140A,48,9.0,14.0,17.697340755455095,762.3469863888348,168
R140A,49,10.0,14.0,8.924893818729585,384.45696449912055,168
R140A,50,11.0,14.0,5.497779981221879,236.82744534494248,168
R140A,51,12.0,14.0,4.166024091188677,179.45949931274302,168
R140A,52,13.0,14.0,3.705338617081711,159.61458658198137,168
R140A,53,14.0,14.0,3.6313294973961012,156.42650142629358,168
R140A,54,15.0,14.0,3.7675136729154435,162.29289667943448,168
R140A,55,5.0,15.0,1.8029534931887106,83.21323814717124,168
