J,Ct,efficiency
0.047809984,0.108297787,0.118407543
0.060307122,0.108274657,0.147766826
0.072804261,0.108274657,0.178455956
0.0853014,0.108251527,0.208622956
0.097798539,0.107973964,0.237492512
0.110295678,0.107488228,0.263720272
0.122792817,0.106771191,0.289298691
0.135289956,0.106088848,0.314132257
0.147787095,0.105499027,0.338739741
0.160284234,0.104943901,0.362965356
0.172781373,0.104249993,0.385923504
0.185278512,0.103324783,0.405894761
0.197775651,0.102445833,0.425818409
0.21027279,0.101428102,0.445167952
0.222769929,0.10024846,0.46351857
0.235267068,0.099334815,0.481592776
0.247764206,0.098374909,0.498945633
0.260261345,0.097229962,0.515765549
0.272758484,0.096027189,0.531786351
0.285255623,0.094951632,0.547112153
0.297752762,0.09386451,0.562291545
0.310249901,0.092858344,0.576905082
0.32274704,0.091701832,0.590647718
0.335244179,0.090568449,0.604437372
0.347741318,0.089365676,0.617633798
0.360238457,0.088197598,0.629781572
0.372735596,0.086705697,0.641677254
0.385232735,0.085167535,0.652053511
0.397729874,0.083363376,0.662052713
0.410227013,0.081697998,0.671600565
0.422724152,0.08005575,0.681237775
0.43522129,0.07822846,0.690086298
0.447718429,0.076412735,0.698038449
0.460215568,0.07452762,0.704760083
0.472712707,0.072735025,0.71176791
0.485209846,0.071011821,0.717800929
0.497706985,0.069277053,0.724088141
0.510204124,0.067403502,0.729168499
0.522701263,0.065772819,0.734317873
0.535198402,0.06396866,0.738898205
0.547695541,0.062176065,0.742342342
0.56019268,0.060209994,0.744497346
0.572689819,0.058336443,0.746678281
0.585186958,0.056428198,0.748617705
0.597684097,0.054415866,0.749490274
0.610181236,0.052403534,0.749829081
0.622678374,0.050333376,0.749553767
0.635175513,0.048344175,0.747933508
0.647672652,0.046250887,0.745636626
0.660169791,0.044134469,0.742165385
0.67266693,0.042052746,0.737754486
0.685164069,0.039936328,0.731278419
0.697661208,0.037623303,0.721950346
0.710158347,0.035414364,0.711579213
0.722655486,0.03321699,0.698254439
0.735152625,0.030765183,0.681251534
0.747649764,0.028452158,0.661542569
0.760146903,0.026069742,0.638477485
0.772644042,0.023606371,0.609221025
0.785141181,0.020877001,0.572636879
0.79763832,0.018344238,0.531039662
0.810135458,0.015742085,0.481238914
0.821496494,0.013074396,0.423072587
0.832857529,0.010318041,0.357671462
0.845354668,0.007519281,0.277289599
0.856715704,0.004762926,0.173777583
0.868076739,0.002210888,0.069485309
